STM0704	RSBA7_03078
STM3740	RSBA7_01976
STM1200	RSBA7_01501
STM3864	RSBA7_03012
STM3864	RSBA7_03982
STM2774	RSBA7_00483
STM2654	RSBA7_03186
STM2654	RSBA7_03136
STM3742	RSBA7_01974
STM0443	RSBA7_02616
STM0322	RSBA7_02449
STM3712	RSBA7_00745
STM0442	RSBA7_02615
STM0321	RSBA7_02513
STM2502	RSBA7_01731
STM3711	RSBA7_00608
STM0441	RSBA7_02614
STM1777	RSBA7_02599
STM0440	RSBA7_02613
STM1779	RSBA7_00396
STM0568	RSBA7_03784
STM0689	RSBA7_02825
STM0689	RSBA7_02824
STM1772	RSBA7_01084
STM3952	RSBA7_02470
STM3710	RSBA7_00894
STM0202	RSBA7_00714
STM2500	RSBA7_02233
STM0444	RSBA7_00149
STM0686	RSBA7_00840
STM3965	RSBA7_04118
STM1303	RSBA7_02214
STM3725	RSBA7_00389
STM3724	RSBA7_00746
STM3603	RSBA7_03306
STM0218	RSBA7_01366
STM1780	RSBA7_00394
STM2991	RSBA7_02302
STM2992	RSBA7_01219
STM2510	RSBA7_01391
STM2511	RSBA7_01389
STM0213	RSBA7_01352
STM1301	RSBA7_02526
STM2204	RSBA7_02558
STM0146	RSBA7_02500
STM1479	RSBA7_03854
STM1479	RSBA7_02438
STM0145	RSBA7_02227
STM3656	RSBA7_00533
STM3535	RSBA7_03261
STM3538	RSBA7_03257
STM2327	RSBA7_01905
STM1238	RSBA7_02250
STM3537	RSBA7_03256
STM3539	RSBA7_01828
STM0140	RSBA7_02523
STM0261	RSBA7_01752
STM2440	RSBA7_00896
STM2441	RSBA7_01311
STM2200	RSBA7_01531
STM2200	RSBA7_01532
STM2321	RSBA7_01898
STM2442	RSBA7_01310
STM1232	RSBA7_02428
STM2322	RSBA7_01899
STM2443	RSBA7_01309
STM2444	RSBA7_01304
STM2565	RSBA7_01561
STM3655	RSBA7_00531
STM2324	RSBA7_01901
STM1235	RSBA7_02432
STM1489	RSBA7_01464
STM3305	RSBA7_02517
STM2578	RSBA7_01038
STM2458	RSBA7_02896
STM3307	RSBA7_02714
STM0154	RSBA7_01639
STM0153	RSBA7_01641
STM0152	RSBA7_01642
STM0150	RSBA7_03784
STM1480	RSBA7_02441
STM1480	RSBA7_03856
STM2450	RSBA7_02302
STM2451	RSBA7_02011
STM3542	RSBA7_00445
STM1002	RSBA7_02410
STM1124	RSBA7_02993
STM1004	RSBA7_01003
STM0245	RSBA7_00901
STM0245	RSBA7_03080
STM1577	RSBA7_03407
STM0124	RSBA7_02543
STM2546	RSBA7_01117
STM2788	RSBA7_00841
STM0123	RSBA7_02544
STM1578	RSBA7_03408
STM0122	RSBA7_02545
STM1337	RSBA7_01662
STM1338	RSBA7_01661
STM0242	RSBA7_02510
STM2427	RSBA7_01358
STM0483	RSBA7_00417
STM3871	RSBA7_03019
STM3870	RSBA7_03018
STM0129	RSBA7_02538
STM0007	RSBA7_01197
STM0128	RSBA7_02539
STM2662	RSBA7_01608
STM2783	RSBA7_04154
STM0369	RSBA7_03217
STM0369	RSBA7_01843
STM1211	RSBA7_02050
STM0368	RSBA7_01842
STM0368	RSBA7_03218
STM3512	RSBA7_04536
STM0247	RSBA7_00899
STM2543	RSBA7_00992
STM1333	RSBA7_01666
STM0489	RSBA7_02354
STM0246	RSBA7_00900
STM0488	RSBA7_02298
STM0125	RSBA7_02542
STM1576	RSBA7_03406
STM3646	RSBA7_03849
STM3646	RSBA7_01006
STM0498	RSBA7_03045
STM1104	RSBA7_02197
STM1347	RSBA7_02371
STM1347	RSBA7_00794
STM1226	RSBA7_01551
STM0134	RSBA7_02532
STM0255	RSBA7_01111
STM1106	RSBA7_04926
STM1106	RSBA7_01650
STM1469	RSBA7_03564
STM1349	RSBA7_01381
STM1107	RSBA7_04893
STM3526	RSBA7_02812
STM2318	RSBA7_01895
STM0372	RSBA7_02750
STM3407	RSBA7_00077
STM0130	RSBA7_02537
STM0371	RSBA7_01750
STM0370	RSBA7_01845
STM3880	RSBA7_01616
STM3880	RSBA7_03688
STM1580	RSBA7_03410
STM2791	RSBA7_03729
STM2791	RSBA7_00033
STM2791	RSBA7_00761
STM2791	RSBA7_04924
STM2670	RSBA7_02371
STM2670	RSBA7_00794
STM3882	RSBA7_04940
STM3882	RSBA7_01211
STM2792	RSBA7_00034
STM1340	RSBA7_02180
STM2430	RSBA7_00896
STM1341	RSBA7_02384
STM2431	RSBA7_03672
STM2431	RSBA7_02556
STM1584	RSBA7_03784
STM1221	RSBA7_01196
STM3763	RSBA7_03824
STM3883	RSBA7_01212
STM2433	RSBA7_03672
STM2433	RSBA7_02556
STM0137	RSBA7_02511
STM2555	RSBA7_00782
STM3401	RSBA7_02473
STM3885	RSBA7_00986
STM0067	RSBA7_01747
STM0066	RSBA7_01749
STM2009	RSBA7_04820
STM0064	RSBA7_02453
STM0183	RSBA7_02340
STM0182	RSBA7_02342
STM0181	RSBA7_02169
STM0180	RSBA7_02439
STM3330	RSBA7_02726
STM3692	RSBA7_00956
STM2362	RSBA7_01817
STM2483	RSBA7_01349
STM4421	RSBA7_03683
STM4420	RSBA7_01216
STM3331	RSBA7_05015
STM2365	RSBA7_01820
STM3334	RSBA7_01647
STM2366	RSBA7_01821
STM3699	RSBA7_01119
STM3457	RSBA7_02864
STM2489	RSBA7_01102
STM3469	RSBA7_02582
STM3106	RSBA7_01274
STM2018	RSBA7_02172
STM2019	RSBA7_02171
STM1163	RSBA7_00493
STM3103	RSBA7_01981
STM2498	RSBA7_02007
STM3468	RSBA7_02214
STM2378	RSBA7_04708
STM3316	RSBA7_00412
STM0047	RSBA7_02238
STM3315	RSBA7_00413
STM0046	RSBA7_02237
STM3557	RSBA7_01233
STM0045	RSBA7_02236
STM4408	RSBA7_00815
STM0163	RSBA7_03611
STM1490	RSBA7_03149
STM3551	RSBA7_03300
STM3554	RSBA7_01236
STM3796	RSBA7_01921
STM3553	RSBA7_01237
STM0049	RSBA7_02221
STM3556	RSBA7_01234
STM4403	RSBA7_03060
STM1135	RSBA7_00220
STM3555	RSBA7_01235
STM4416	RSBA7_02478
STM4415	RSBA7_01966
STM3205	RSBA7_00753
STM0171	RSBA7_00235
STM3680	RSBA7_02402
STM3680	RSBA7_02897
STM3561	RSBA7_02217
STM2351	RSBA7_03836
STM2351	RSBA7_02076
STM2351	RSBA7_00489
STM2351	RSBA7_03106
STM2472	RSBA7_02464
STM2472	RSBA7_01963
STM3560	RSBA7_03146
STM3560	RSBA7_02216
STM2473	RSBA7_01197
STM3563	RSBA7_02219
STM3200	RSBA7_00893
STM2474	RSBA7_02458
STM3562	RSBA7_02218
STM4414	RSBA7_02129
STM2356	RSBA7_02604
STM1193	RSBA7_01022
STM3493	RSBA7_02472
STM2162	RSBA7_02279
STM1194	RSBA7_01023
STM3250	RSBA7_03953
STM4221	RSBA7_01564
STM1195	RSBA7_01024
STM2164	RSBA7_02279
STM1196	RSBA7_01025
STM3134	RSBA7_03949
STM3255	RSBA7_02558
STM1197	RSBA7_01026
STM1076	RSBA7_02004
STM2289	RSBA7_04926
STM2289	RSBA7_01650
STM2168	RSBA7_01632
STM4106	RSBA7_00825
STM4348	RSBA7_03288
STM3379	RSBA7_02482
STM4105	RSBA7_00100
STM3380	RSBA7_02483
STM2050	RSBA7_02374
STM4230	RSBA7_01236
STM4234	RSBA7_02396
STM2297	RSBA7_01290
STM4475	RSBA7_02057
STM2298	RSBA7_01289
STM4236	RSBA7_01929
STM2299	RSBA7_01287
STM4477	RSBA7_02193
STM2028	RSBA7_04164
STM2029	RSBA7_04163
STM0088	RSBA7_00729
STM0087	RSBA7_00935
STM0086	RSBA7_02864
STM1290	RSBA7_02457
STM1291	RSBA7_01541
STM1293	RSBA7_01529
STM2384	RSBA7_01677
STM3475	RSBA7_04566
STM3474	RSBA7_04567
STM3477	RSBA7_02198
STM3598	RSBA7_01274
STM2146	RSBA7_00106
STM1057	RSBA7_01965
STM1058	RSBA7_01621
STM3009	RSBA7_01332
STM0091	RSBA7_00524
STM3240	RSBA7_02976
STM3483	RSBA7_02579
STM3486	RSBA7_02730
STM3244	RSBA7_03384
STM3002	RSBA7_02186
STM3001	RSBA7_00936
STM2276	RSBA7_00877
STM2155	RSBA7_02163
STM4456	RSBA7_03824
STM3487	RSBA7_02731
STM3248	RSBA7_02957
STM4578	RSBA7_01594
STM3295	RSBA7_01741
STM3053	RSBA7_02975
STM3294	RSBA7_01740
STM3055	RSBA7_02973
STM3054	RSBA7_02974
STM2093	RSBA7_04183
STM2094	RSBA7_00733
STM2095	RSBA7_00732
STM2096	RSBA7_00731
STM3063	RSBA7_01198
STM2097	RSBA7_00730
STM3066	RSBA7_04485
STM2098	RSBA7_02058
STM2098	RSBA7_03135
STM4275	RSBA7_01797
STM4398	RSBA7_03784
STM3069	RSBA7_00614
STM3390	RSBA7_00015
STM3390	RSBA7_03967
STM3390	RSBA7_03966
STM3391	RSBA7_03968
STM3391	RSBA7_00014
STM3391	RSBA7_04846
STM2062	RSBA7_00289
STM4483	RSBA7_03851
STM4482	RSBA7_04536
STM4485	RSBA7_00445
STM4484	RSBA7_03852
STM4366	RSBA7_01191
STM4123	RSBA7_02144
STM2189	RSBA7_04940
STM2189	RSBA7_01211
STM4247	RSBA7_01333
STM4004	RSBA7_02961
STM4007	RSBA7_03891
STM4007	RSBA7_01227
STM4248	RSBA7_00983
STM3040	RSBA7_01000
STM3161	RSBA7_04170
STM2072	RSBA7_02712
STM2194	RSBA7_00650
STM4131	RSBA7_01800
STM2074	RSBA7_02710
STM2196	RSBA7_02976
STM2077	RSBA7_02706
STM2078	RSBA7_02705
STM4137	RSBA7_02312
