STM0704	RSPSI07_00053
STM3330	RSPSI07_00498
STM3692	RSPSI07_02327
STM2362	RSPSI07_01390
STM2483	RSPSI07_01884
STM4421	RSPSI07_04245
STM4420	RSPSI07_02026
STM3694	RSPSI07_01236
STM2365	RSPSI07_01387
STM3334	RSPSI07_01603
STM2366	RSPSI07_01386
STM3699	RSPSI07_02129
STM3457	RSPSI07_00355
STM2489	RSPSI07_02144
STM3469	RSPSI07_00586
STM3106	RSPSI07_01968
STM2018	RSPSI07_01019
STM2019	RSPSI07_01020
STM1163	RSPSI07_02781
STM3103	RSPSI07_01205
STM2498	RSPSI07_01177
STM1288	RSPSI07_01528
STM3468	RSPSI07_00979
STM3316	RSPSI07_02881
STM0047	RSPSI07_00955
STM3315	RSPSI07_02880
STM0046	RSPSI07_00956
STM3557	RSPSI07_02009
STM0045	RSPSI07_00957
STM2109	RSPSI07_02421
STM4408	RSPSI07_02487
STM1490	RSPSI07_03275
STM3551	RSPSI07_03485
STM3554	RSPSI07_02006
STM3796	RSPSI07_01287
STM3553	RSPSI07_02005
STM0049	RSPSI07_00972
STM3556	RSPSI07_02008
STM4403	RSPSI07_00071
STM1135	RSPSI07_03035
STM3555	RSPSI07_02007
STM4416	RSPSI07_00688
STM4415	RSPSI07_01243
STM3205	RSPSI07_02558
STM0171	RSPSI07_03020
STM3680	RSPSI07_00325
STM3561	RSPSI07_00976
STM2351	RSPSI07_03844
STM2351	RSPSI07_01103
STM2351	RSPSI07_01257
STM2351	RSPSI07_00029
STM2351	RSPSI07_02785
STM2472	RSPSI07_01246
STM2472	RSPSI07_00702
STM2472	RSPSI07_01459
STM3560	RSPSI07_00977
STM3560	RSPSI07_03271
STM2473	RSPSI07_02052
STM3563	RSPSI07_00974
STM3200	RSPSI07_02382
STM2474	RSPSI07_00719
STM3562	RSPSI07_00975
STM4414	RSPSI07_01064
STM2356	RSPSI07_00560
STM1193	RSPSI07_02258
STM3493	RSPSI07_00694
STM2162	RSPSI07_00895
STM1194	RSPSI07_02257
STM3250	RSPSI07_03965
STM4221	RSPSI07_01681
STM1195	RSPSI07_02256
STM2164	RSPSI07_00895
STM1196	RSPSI07_02255
STM3134	RSPSI07_02225
STM3134	RSPSI07_03969
STM3255	RSPSI07_00608
STM1197	RSPSI07_02254
STM1076	RSPSI07_01180
STM2289	RSPSI07_01600
STM2289	RSPSI07_04803
STM2168	RSPSI07_01618
STM4106	RSPSI07_02477
STM3379	RSPSI07_00684
STM4105	RSPSI07_03158
STM3380	RSPSI07_00683
STM2050	RSPSI07_00801
STM4230	RSPSI07_02006
STM4234	RSPSI07_00776
STM2297	RSPSI07_01952
STM4475	RSPSI07_01127
STM2298	RSPSI07_01953
STM4236	RSPSI07_01279
STM2299	RSPSI07_01955
STM4477	RSPSI07_01000
STM2028	RSPSI07_03712
STM2029	RSPSI07_03713
STM0088	RSPSI07_02579
STM0087	RSPSI07_02350
STM0086	RSPSI07_00355
STM1290	RSPSI07_00720
STM1291	RSPSI07_01704
STM1293	RSPSI07_01717
STM2384	RSPSI07_01572
STM3475	RSPSI07_04394
STM3474	RSPSI07_04395
STM3477	RSPSI07_00995
STM3598	RSPSI07_01968
STM2146	RSPSI07_03150
STM1057	RSPSI07_01244
STM1058	RSPSI07_01629
STM2389	RSPSI07_02726
STM3009	RSPSI07_01905
STM0091	RSPSI07_02748
STM3240	RSPSI07_00138
STM3483	RSPSI07_00589
STM3486	RSPSI07_00494
STM3244	RSPSI07_04648
STM3002	RSPSI07_01005
STM3001	RSPSI07_02349
STM2276	RSPSI07_02398
STM2155	RSPSI07_01028
STM3487	RSPSI07_00493
STM3248	RSPSI07_00152
STM4578	RSPSI07_01652
STM3295	RSPSI07_01497
STM3053	RSPSI07_00139
STM2084	RSPSI07_02414
STM3294	RSPSI07_01498
STM3055	RSPSI07_00141
STM3054	RSPSI07_00140
STM2093	RSPSI07_03699
STM2094	RSPSI07_02575
STM2095	RSPSI07_02576
STM2096	RSPSI07_02577
STM3063	RSPSI07_02051
STM2097	RSPSI07_02578
STM3066	RSPSI07_04048
STM3066	RSPSI07_02909
STM2098	RSPSI07_01126
STM2098	RSPSI07_03260
STM4275	RSPSI07_01414
STM3069	RSPSI07_02686
STM3390	RSPSI07_03239
STM3390	RSPSI07_03947
STM3391	RSPSI07_03946
STM3391	RSPSI07_03240
STM2062	RSPSI07_02968
STM4483	RSPSI07_03829
STM4482	RSPSI07_04366
STM4485	RSPSI07_02828
STM4484	RSPSI07_03828
STM4366	RSPSI07_02058
STM4123	RSPSI07_01051
STM2189	RSPSI07_04821
STM2189	RSPSI07_00712
STM2189	RSPSI07_02031
STM4247	RSPSI07_01904
STM4004	RSPSI07_00151
STM4007	RSPSI07_02015
STM4007	RSPSI07_04023
STM4248	RSPSI07_02297
STM3040	RSPSI07_02280
STM3161	RSPSI07_03706
STM2072	RSPSI07_00512
STM2194	RSPSI07_02649
STM4131	RSPSI07_01410
STM2074	RSPSI07_00514
STM2196	RSPSI07_00138
STM3165	RSPSI07_04608
STM2077	RSPSI07_00518
STM2078	RSPSI07_00519
STM4137	RSPSI07_00863
