STM0704	RSRUN2340_03494
STM2168	RSRUN2340_01399
STM4106	RSRUN2340_00810
STM4106	RSRUN2340_02072
STM4348	RSRUN2340_03802
STM3379	RSRUN2340_02881
STM4105	RSRUN2340_00119
STM3380	RSRUN2340_02882
STM2050	RSRUN2340_02743
STM4230	RSRUN2340_01889
STM4234	RSRUN2340_02767
STM2297	RSRUN2340_01829
STM4475	RSRUN2340_00961
STM2298	RSRUN2340_01830
STM4236	RSRUN2340_01127
STM2299	RSRUN2340_01832
STM4477	RSRUN2340_02532
STM2028	RSRUN2340_04132
STM2029	RSRUN2340_04133
STM0088	RSRUN2340_00705
STM0087	RSRUN2340_02268
STM0086	RSRUN2340_03192
STM1290	RSRUN2340_02850
STM1291	RSRUN2340_01538
STM1293	RSRUN2340_01555
STM2384	RSRUN2340_01354
STM3475	RSRUN2340_04782
STM3474	RSRUN2340_04783
STM3477	RSRUN2340_02537
STM3598	RSRUN2340_01849
STM2146	RSRUN2340_00125
STM1057	RSRUN2340_01089
STM1058	RSRUN2340_01411
STM3009	RSRUN2340_01778
STM0091	RSRUN2340_00561
STM3240	RSRUN2340_03403
STM3240	RSRUN2340_02118
STM3483	RSRUN2340_02977
STM3486	RSRUN2340_03066
STM3244	RSRUN2340_05038
STM3002	RSRUN2340_02527
STM3001	RSRUN2340_02267
STM2276	RSRUN2340_02319
STM2155	RSRUN2340_02504
STM3487	RSRUN2340_03067
STM3248	RSRUN2340_03391
STM4578	RSRUN2340_01432
STM3295	RSRUN2340_01310
STM3053	RSRUN2340_03402
STM3294	RSRUN2340_01311
STM3055	RSRUN2340_03400
STM3054	RSRUN2340_03401
STM2093	RSRUN2340_04119
STM2094	RSRUN2340_00709
STM2095	RSRUN2340_00708
STM2096	RSRUN2340_00707
STM3063	RSRUN2340_01926
STM2097	RSRUN2340_00706
STM3066	RSRUN2340_00419
STM2098	RSRUN2340_03553
STM2098	RSRUN2340_00960
STM4275	RSRUN2340_01258
STM4398	RSRUN2340_04951
STM3069	RSRUN2340_00623
STM3390	RSRUN2340_00013
STM3390	RSRUN2340_04263
STM3391	RSRUN2340_00012
STM3391	RSRUN2340_04262
STM2062	RSRUN2340_00359
STM4483	RSRUN2340_04466
STM4482	RSRUN2340_04754
STM4485	RSRUN2340_00483
STM4484	RSRUN2340_04467
STM4366	RSRUN2340_01933
STM4123	RSRUN2340_02478
STM2189	RSRUN2340_02665
STM2189	RSRUN2340_05145
STM2189	RSRUN2340_01914
STM4247	RSRUN2340_01777
STM4004	RSRUN2340_03392
STM4007	RSRUN2340_01898
STM4007	RSRUN2340_04333
STM4248	RSRUN2340_02213
STM3040	RSRUN2340_02195
STM2072	RSRUN2340_03048
STM2194	RSRUN2340_00654
STM4131	RSRUN2340_01254
STM2074	RSRUN2340_03046
STM2196	RSRUN2340_03403
STM2196	RSRUN2340_02118
STM3165	RSRUN2340_01103
STM2077	RSRUN2340_03042
STM2078	RSRUN2340_03041
STM4137	RSRUN2340_02681
