STM0704	XOO3844
STM0772	XOO1460
STM3855	XOO2464
STM3854	XOO2465
STM3733	XOO0508
STM2403	XOO2315
STM0222	XOO1971
STM0464	XOO1615
STM0585	XOO4286
STM0221	XOO1972
STM0463	XOO4486
STM3857	XOO2462
STM3857	XOO2461
STM0584	XOO3083
STM3614	XOO1117
STM2526	XOO2535
STM0220	XOO1970
STM3856	XOO2463
STM1318	XOO0417
STM1318	XOO3423
STM2408	XOO2205
STM3970	XOO3987
STM0229	XOO1964
STM0228	XOO1965
STM1792	XOO2656
STM0227	XOO1966
STM3730	XOO0496
STM3972	XOO0350
STM1793	XOO2661
STM1431	XOO2828
STM1431	XOO2712
STM1431	XOO3208
STM0226	XOO1967
STM3731	XOO0497
STM1433	XOO3207
STM1796	XOO4030
STM2401	XOO0925
STM3866	XOO0731
STM0113	XOO0941
STM0112	XOO0940
STM3865	XOO0732
STM1446	XOO0512
STM2777	XOO4286
STM1204	XOO1177
STM3626	XOO2981
STM0111	XOO0936
STM0232	XOO1961
STM2415	XOO1504
STM3868	XOO0729
STM2536	XOO0450
STM0110	XOO0937
STM3867	XOO0730
STM3869	XOO0728
STM1209	XOO1867
STM3624A	XOO0778
STM3624A	XOO1818
STM3862	XOO0736
STM3982	XOO0481
STM3861	XOO0746
STM3740	XOO1145
STM3864	XOO0733
STM2654	XOO4604
STM3742	XOO1149
STM0235	XOO1926
STM0443	XOO1629
STM0322	XOO2665
STM0442	XOO1630
STM0321	XOO2666
STM2502	XOO3669
STM0441	XOO1631
STM1777	XOO3607
STM0683	XOO3915
STM0440	XOO1632
STM1779	XOO3604
STM0680	XOO1990
STM0568	XOO4034
STM0689	XOO1114
STM1772	XOO2966
STM0202	XOO1232
STM2500	XOO1294
STM0686	XOO3713
STM2984	XOO1402
STM1303	XOO1219
STM3725	XOO2508
STM3724	XOO0926
STM3603	XOO4030
STM0218	XOO1974
STM1780	XOO3603
STM2991	XOO2368
STM2991	XOO2733
STM2510	XOO2195
STM2511	XOO2194
STM0213	XOO1985
STM2204	XOO2812
STM1479	XOO3633
STM0145	XOO3212
STM3656	XOO4399
STM3535	XOO0112
STM3538	XOO0194
STM3538	XOO0113
STM2327	XOO3235
STM3537	XOO3349
STM3537	XOO0117
STM0140	XOO1583
STM0261	XOO1039
STM0380	XOO0352
STM2440	XOO3409
STM2441	XOO3686
STM2200	XOO1929
STM2321	XOO3227
STM2442	XOO3688
STM1232	XOO2048
STM2322	XOO3228
STM2443	XOO3689
STM2444	XOO3690
STM2565	XOO0841
STM3655	XOO4398
STM2324	XOO3230
STM1235	XOO2555
STM1489	XOO0767
STM3305	XOO1438
STM3307	XOO1290
STM0154	XOO0722
STM0153	XOO0720
STM0152	XOO4248
STM0150	XOO4034
STM1480	XOO3629
STM2450	XOO2368
STM2450	XOO2733
STM2451	XOO4239
STM3661	XOO2910
STM3661	XOO4417
STM1000	XOO2418
STM3542	XOO0332
STM1124	XOO4145
STM0158	XOO2862
STM0245	XOO0715
STM0124	XOO3829
STM2546	XOO2711
STM0123	XOO3830
STM0002	XOO2242
STM0122	XOO3831
STM1337	XOO3183
STM1338	XOO3182
STM0242	XOO0809
STM2427	XOO2410
STM0483	XOO2717
STM3871	XOO0726
STM3870	XOO0727
STM0129	XOO3825
STM0007	XOO3649
STM0128	XOO3826
STM2662	XOO1597
STM0369	XOO0893
STM0368	XOO0892
STM0247	XOO0713
STM1333	XOO3187
STM0489	XOO4410
STM0246	XOO0714
STM0488	XOO0963
STM0125	XOO3828
STM3646	XOO3260
STM1347	XOO4284
STM1226	XOO2777
STM0134	XOO3821
STM0255	XOO4527
STM1469	XOO2057
STM1349	XOO2211
STM2318	XOO3224
STM0372	XOO0402
STM3407	XOO0586
STM0130	XOO3824
STM3880	XOO1662
STM2670	XOO4284
STM2430	XOO3409
STM1341	XOO4575
STM1341	XOO2339
STM2793	XOO1270
STM2431	XOO2810
STM1584	XOO4034
STM2433	XOO2810
STM0137	XOO0043
STM0137	XOO4151
STM2555	XOO3860
STM3401	XOO4712
STM3885	XOO3785
STM0067	XOO2887
STM0066	XOO2888
STM0183	XOO2365
STM0182	XOO2364
STM0181	XOO2363
STM0180	XOO2361
STM3330	XOO0177
STM2362	XOO3675
STM2483	XOO1989
STM3694	XOO0022
STM3331	XOO0178
STM2365	XOO3679
STM1155	XOO0925
STM2366	XOO3250
STM3457	XOO2188
STM3457	XOO0469
STM2489	XOO2923
STM3469	XOO4163
STM2018	XOO1350
STM0190	XOO1739
STM2492	XOO4620
STM2252	XOO3006
STM2253	XOO2154
STM2254	XOO2155
STM3103	XOO1141
STM2498	XOO2501
STM3468	XOO1219
STM2378	XOO0761
STM3316	XOO1288
STM0047	XOO1627
STM3315	XOO1289
STM0046	XOO1626
STM1259	XOO0388
STM0045	XOO1625
STM0165	XOO4157
STM4408	XOO3657
STM0161	XOO4332
STM3551	XOO2505
STM3554	XOO2313
STM3796	XOO0945
STM3553	XOO0168
STM0049	XOO1628
STM2104	XOO0797
STM4416	XOO0964
STM3206	XOO4124
STM4415	XOO0015
STM0171	XOO2423
STM2472	XOO1118
STM2473	XOO3649
STM2474	XOO1176
STM4414	XOO0952
STM1193	XOO0878
STM3493	XOO4787
STM2162	XOO4511
STM1194	XOO0880
STM4221	XOO2360
STM1195	XOO0881
STM4100	XOO0778
STM4100	XOO1818
STM2163	XOO4512
STM2164	XOO4511
STM1196	XOO0882
STM3255	XOO2812
STM1197	XOO0883
STM3136	XOO4424
STM4348	XOO3264
STM3379	XOO0558
STM4105	XOO3810
STM3380	XOO0556
STM2050	XOO3743
STM4230	XOO2313
STM4234	XOO0453
STM4475	XOO0831
STM4236	XOO3757
STM4477	XOO0834
STM0088	XOO3750
STM0087	XOO3751
STM0086	XOO2188
STM0086	XOO0469
STM1290	XOO1203
STM1291	XOO0690
STM2384	XOO3261
STM3477	XOO3408
STM3477	XOO3102
STM2146	XOO2928
STM3597	XOO3287
STM3597	XOO4874
STM1058	XOO2237
STM2389	XOO4084
STM0091	XOO3747
STM3240	XOO1821
STM3483	XOO4052
STM3486	XOO1243
STM3244	XOO0228
STM3002	XOO3753
STM3001	XOO3752
STM2276	XOO2702
STM2155	XOO1924
STM1067	XOO0762
STM3487	XOO1244
STM3247	XOO4620
STM3295	XOO2948
STM3053	XOO3547
STM2084	XOO0796
STM3294	XOO3249
STM3055	XOO1794
STM3054	XOO1795
STM3062	XOO2143
STM2094	XOO0794
STM2095	XOO0793
STM2096	XOO0795
STM3063	XOO1127
STM4273	XOO4548
STM2097	XOO0792
STM2098	XOO2186
STM4275	XOO4544
STM4398	XOO4034
STM3069	XOO3415
STM3390	XOO2804
STM3391	XOO2805
STM3391	XOO3018
STM3391	XOO3016
STM2062	XOO3956
STM4485	XOO0332
STM4366	XOO0915
STM4247	XOO0694
STM4007	XOO4488
STM4248	XOO0016
STM3040	XOO2872
STM2071	XOO2255
STM2072	XOO2256
STM2194	XOO3866
STM2073	XOO2257
STM2074	XOO2258
STM2196	XOO1821
STM2075	XOO2259
STM2076	XOO2260
STM2077	XOO2261
STM2078	XOO2262
STM4137	XOO2236
