PP_0514	b0414
PP_5246	b3350
PP_5246	b0047
PP_2090	b3368
PP_4150	b0829
PP_4150	b1483
PP_5326	b3725
PP_4116	b4015
PP_3147	b0854
PP_4479	b1747
PP_2179	b1298
PP_4237	b0604
PP_4478	b1746
PP_4119	b2288
PP_4481	b1748
PP_4481	b3359
PP_3272	b4067
PP_3151	b1525
PP_4484	b2307
PP_4121	b2286
PP_4483	b2306
PP_4483	b0809
PP_4483	b1917
PP_4483	b0652
PP_4120	b2287
PP_3274	b1392
PP_4123	b2284
PP_3275	b1391
PP_4486	b2309
PP_4486	b2310
PP_3276	b1390
PP_4485	b2308
PP_4122	b2285
PP_4125	b2282
PP_3277	b1389
PP_4487	b4069
PP_5213	b3843
PP_3278	b1388
PP_4124	b2283
PP_3270	b1387
PP_5216	b2502
PP_3279	b1398
PP_4127	b2280
PP_5336	b0523
PP_4126	b2281
PP_5215	b3781
PP_4129	b2278
PP_5338	b4139
PP_4128	b2279
PP_4130	b2277
PP_2193	b3966
PP_3283	b1394
PP_4495	b0402
PP_4495	b4208
PP_4495	b0576
PP_4495	b0112
PP_4495	b1453
PP_3284	b1393
PP_5100	b2954
PP_4011	b1136
PP_5341	b0854
PP_2196	b2937
PP_4131	b2276
PP_2077	b2838
PP_5104	b3991
PP_3280	b3845
PP_3280	b1397
PP_1069	b0653
PP_1068	b2306
PP_1068	b0809
PP_1068	b1917
PP_1068	b0652
PP_4699	b0134
PP_4698	b0142
PP_5306	b3006
PP_3129	b0759
PP_5307	b3005
PP_1070	b0654
PP_2160	b2794
PP_3376	b3553
PP_4103	b3493
PP_4103	b2987
PP_1076	b3927
PP_1075	b3926
PP_1073	b3426
PP_1071	b0655
PP_3136	b3607
PP_5315	b2710
PP_2168	b0008
PP_2168	b2464
PP_5314	b2710
PP_4346	b0381
PP_4106	b2663
PP_4469	b4094
PP_4108	b1302
PP_4108	b2662
PP_5318	b4040
PP_4594	b3939
PP_4475	b1744
PP_3264	b0789
PP_3144	b1814
PP_3144	b4471
PP_3144	b2797
PP_2056	b3528
PP_4477	b1745
PP_5203	b2912
PP_3146	b1301
PP_1086	b1062
PP_1082	b3336
PP_3345	b3479
PP_3346	b3480
PP_3346	b1247
PP_3346	b3540
PP_4434	b1189
PP_2136	b3846
PP_2137	b3845
PP_2137	b1397
PP_4679	b0078
PP_3589	b2796
PP_2017	b0932
PP_5409	b3729
PP_3590	b4054
PP_3590	b0928
PP_4680	b3671
PP_4680	b0077
PP_3593	b0863
PP_3593	b0860
PP_3594	b0862
PP_4683	b0149
PP_3595	b2307
PP_5412	b3731
PP_2265	b0529
PP_3597	b2306
PP_3597	b0809
PP_3597	b1917
PP_3597	b0652
PP_5411	b3730
PP_2145	b1107
PP_1294	b0785
PP_0083	b1261
PP_1293	b0784
PP_1292	b0783
PP_1059	b0402
PP_1059	b4208
PP_1059	b0576
PP_1059	b0112
PP_1059	b1453
PP_1299	b2308
PP_5414	b3733
PP_4325	b2199
PP_3598	b1298
PP_5413	b3732
PP_4327	b2201
PP_5416	b3735
PP_5415	b3734
PP_4326	b2200
PP_5418	b3737
PP_5417	b3736
PP_5419	b3738
PP_2151	b3962
PP_4571	b2414
PP_4571	b2421
PP_3122	b2221
PP_3123	b2222
PP_5302	b3650
PP_3002	b3281
PP_1188	b3528
PP_1024	b1850
PP_4897	b2817
PP_4897	b2435
PP_2476	b1449
PP_3446	b3772
PP_4659	b3447
PP_2117	b2320
PP_4779	b1982
PP_2239	b0813
PP_2000	b2312
PP_2242	b0584
PP_4422	b2661
PP_2001	b3939
PP_4784	b0154
PP_0186	b3805
PP_0065	b3290
PP_1032	b2507
PP_1031	b2508
PP_0184	b3960
PP_1037	b2557
PP_1277	b2049
PP_2488	b1525
PP_4305	b3917
PP_4305	b2425
PP_4426	b0810
PP_4426	b1918
PP_2368	b0207
PP_4547	b1297
PP_3578	b0688
PP_4425	b2306
PP_4425	b0809
PP_4425	b1917
PP_4425	b0652
PP_4549	b1805
PP_4548	b1301
PP_4790	b0657
PP_4550	b1805
PP_3581	b1285
PP_2492	b3011
PP_3342	b3476
PP_2375	b4019
PP_2012	b2615
PP_3343	b3477
PP_3344	b0832
PP_3344	b3478
PP_3344	b3542
PP_0074	b3281
PP_0073	b2436
PP_1009	b1779
PP_1129	b1638
PP_1367	b1232
PP_0399	b0049
PP_0156	b1603
PP_1003	b1605
PP_0398	b3425
PP_0155	b1602
PP_1002	b1605
PP_3664	b2585
PP_2334	b0331
PP_4632	b1606
PP_2335	b0333
PP_4756	b2663
PP_3668	b3942
PP_2458	b3752
PP_2217	b1393
PP_4757	b2787
PP_4757	b2788
PP_4636	b2224
PP_2338	b0334
PP_2459	b3748
PP_4639	b4352
PP_2339	b0118
PP_2460	b2162
PP_2460	b0651
PP_2341	b2765
PP_3794	b2134
PP_3311	b3350
PP_3311	b0047
PP_4762	b0452
PP_1496	b4129
PP_1011	b2388
PP_1132	b0019
PP_1494	b1490
PP_1010	b1851
PP_0284	b2663
PP_1373	b3493
PP_1373	b2987
PP_0283	b2306
PP_0283	b0809
PP_0283	b1917
PP_0283	b0652
PP_1251	b2210
PP_0282	b0863
PP_0282	b0860
PP_0281	b0862
PP_0160	b0150
PP_0280	b2307
PP_1018	b3450
PP_1018	b4035
PP_1139	b3456
PP_1138	b3455
PP_1137	b3454
PP_1378	b2587
PP_0289	b2022
PP_1377	b3845
PP_1377	b1397
PP_1014	b3880
PP_2586	b1296
PP_2586	b2014
PP_4523	b2937
PP_4646	b3924
PP_3435	b0315
PP_2589	b1300
PP_2589	b3588
PP_2589	b0312
PP_2589	b1385
PP_4889	b4177
PP_2592	b4287
PP_2592	b0151
PP_2592	b0588
PP_2351	b0335
PP_4893	b4173
PP_3320	b2026
PP_4653	b3714
PP_4653	b3664
PP_4774	b3915
PP_3322	b0369
PP_2112	b1276
PP_0297	b1814
PP_0297	b4471
PP_0297	b2797
PP_1386	b0463
PP_1386	b3265
PP_1144	b1285
PP_1385	b2470
PP_1385	b0462
PP_1385	b3266
PP_1022	b1852
PP_0295	b2678
PP_1141	b3460
PP_1141	b3458
PP_0294	b2677
PP_0293	b2025
PP_1140	b3457
PP_1229	b1296
PP_1229	b2014
PP_1469	b2893
PP_1226	b0444
PP_0137	b4077
PP_1343	b0096
PP_0496	b0007
PP_2432	b0578
PP_2797	b4067
PP_4613	b4291
PP_2435	b2530
PP_4736	b3605
PP_4735	b3603
PP_4735	b2975
PP_4977	b3941
PP_2318	b0494
PP_2439	b0605
PP_2680	b1300
PP_2680	b3588
PP_2680	b0312
PP_2680	b1385
PP_1593	b0171
PP_2440	b0606
PP_4862	b1539
PP_1595	b0174
PP_1231	b0750
PP_0261	b4214
PP_0260	b3397
PP_1237	b2478
PP_0026	b0752
PP_0145	b4020
PP_0265	b2038
PP_4864	b3455
PP_1596	b0175
PP_2443	b3089
PP_4863	b3454
PP_1597	b0173
PP_2324	b1704
PP_2324	b0754
PP_2324	b2601
PP_4866	b3457
PP_4865	b3456
PP_4868	b0931
PP_3416	b3437
PP_3416	b4268
PP_2448	b1301
PP_4867	b3460
PP_4867	b3458
PP_3417	b4265
PP_3417	b3415
PP_2329	b1812
PP_4869	b1740
PP_2694	b1300
PP_2694	b3588
PP_2694	b0312
PP_2694	b1385
PP_4993	b2947
PP_2453	b2957
PP_0154	b2920
PP_1484	b0855
PP_1484	b1126
PP_1484	b1441
PP_1000	b4254
PP_1000	b0273
PP_1362	b1854
PP_1240	b2476
PP_0392	b3058
PP_1481	b1444
PP_0391	b3059
PP_0239	b0934
PP_0118	b1858
PP_4717	b3177
PP_0238	b0935
PP_0117	b1859
PP_0115	b1732
PP_0236	b0937
PP_0114	b0199
PP_0356	b2976
PP_0113	b0198
PP_1323	b0222
PP_1444	b0124
PP_0112	b0197
PP_0233	b0365
PP_1200	b3747
PP_3741	b0635
PP_2774	b2306
PP_2774	b0809
PP_2774	b1917
PP_2774	b0652
PP_3745	b2979
PP_2657	b3727
PP_3746	b4468
PP_4716	b3176
PP_2658	b3726
PP_3747	b4467
PP_2659	b3725
PP_4715	b3919
PP_4840	b0402
PP_4840	b4208
PP_4840	b0576
PP_4840	b0112
PP_4840	b1453
PP_3992	b3654
PP_3992	b2882
PP_3751	b0341
PP_0363	b0776
PP_1331	b0084
PP_0362	b0775
PP_0240	b0933
PP_0481	b1732
PP_1339	b0092
PP_0129	b1341
PP_1338	b0091
PP_1337	b0090
PP_1336	b0089
PP_1457	b1849
PP_0489	b1474
PP_0489	b3894
PP_1334	b0087
PP_0366	b0778
PP_1333	b0086
PP_1332	b0085
PP_0243	b2688
PP_4963	b2926
PP_2543	b2663
PP_4965	b2935
PP_4965	b2465
PP_4723	b0033
PP_3755	b1395
PP_4964	b2927
PP_2545	b1519
PP_4967	b2942
PP_4725	b0031
PP_4846	b1448
PP_2426	b0325
PP_3999	b3368
PP_4724	b0032
PP_3637	b0366
PP_2428	b1528
PP_0491	b1476
PP_0491	b3892
PP_0490	b3893
PP_0490	b1475
PP_3727	b0260
PP_3727	b2156
PP_0338	b0115
PP_1426	b2574
PP_0336	b4219
PP_1304	b2751
PP_0214	b1302
PP_0214	b2662
PP_1303	b2752
PP_0213	b2661
PP_1300	b2306
PP_1300	b0809
PP_1300	b1917
PP_1300	b0652
PP_1783	b2039
PP_1783	b3789
PP_2872	b1533
PP_1784	b2040
PP_1785	b2041
PP_1785	b3788
PP_4811	b0243
PP_3600	b3691
PP_3600	b2789
PP_1664	b2500
PP_1665	b2499
PP_3601	b3128
PP_4810	b0639
PP_4934	b3052
PP_0219	b0198
PP_1308	b3939
PP_4935	b0914
PP_0339	b0114
PP_1672	b1270
PP_0341	b3620
PP_0228	b3607
PP_0227	b1920
PP_0226	b0810
PP_0226	b1918
PP_1436	b2564
PP_0225	b2306
PP_0225	b0809
PP_0225	b1917
PP_0225	b0652
PP_0586	b0484
PP_0344	b3630
PP_0343	b3631
PP_0342	b3621
PP_0100	b0339
PP_4701	b4025
PP_4822	b4006
PP_4700	b0133
PP_2645	b4242
PP_4702	b4069
PP_4823	b4005
PP_1678	b1993
PP_1799	b2053
PP_4947	b1014
PP_0229	b0314
PP_4946	b1015
PP_0231	b0367
PP_0230	b0368
PP_0558	b3256
PP_1649	b1380
PP_1529	b1680
PP_1529	b2810
PP_1403	b2132
PP_3829	b0764
PP_0434	b1640
PP_0675	b1761
PP_1400	b2587
PP_0795	b2167
PP_0432	b3958
PP_4919	b3034
PP_0794	b2168
PP_0793	b2415
PP_0793	b2417
PP_0793	b3722
PP_2973	b4042
PP_3821	b1236
PP_1765	b2232
PP_1645	b3503
PP_1525	b2472
PP_0559	b3255
PP_1768	b0907
PP_1771	b0910
PP_0327	b1232
PP_3958	b0019
PP_4805	b2701
PP_3839	b1478
PP_0567	b2938
PP_4807	b0635
PP_4928	b3633
PP_0687	b3187
PP_0322	b2551
PP_1893	b0221
PP_3951	b2221
PP_2862	b3057
PP_3830	b0765
PP_3952	b2222
PP_4800	b0628
PP_1654	b2414
PP_1654	b2421
PP_1776	b2049
PP_4922	b3994
PP_1656	b2784
PP_4801	b0630
PP_1777	b2048
PP_1657	b2781
PP_4803	b2010
PP_4803	b0839
PP_4803	b0632
PP_3957	b0314
PP_1782	b2038
PP_0572	b2519
PP_0691	b0242
PP_0415	b3386
PP_1989	b3433
PP_1505	b3956
PP_0777	b1710
PP_1506	b0474
PP_2958	b3610
PP_1628	b2700
PP_2717	b3502
PP_0411	b0855
PP_0411	b1126
PP_0411	b1441
PP_0774	b2458
PP_0774	b2297
PP_0530	b3041
PP_1620	b2744
PP_1985	b0072
PP_1743	b4067
PP_1986	b0071
PP_0538	b4226
PP_0659	b3939
PP_1988	b0073
PP_0416	b3385
PP_0660	b0260
PP_0660	b2156
PP_0547	b4233
PP_0789	b0110
PP_0545	b1300
PP_0545	b3588
PP_0545	b0312
PP_0545	b1385
PP_3817	b0855
PP_3817	b1126
PP_3817	b1441
PP_0787	b0109
PP_0786	b0888
PP_0422	b1262
PP_4909	b4388
PP_0543	b2441
PP_3819	b3500
PP_0421	b1263
PP_4908	b4160
PP_0420	b3360
PP_1872	b2290
PP_1874	b1710
PP_1996	b2316
PP_1755	b1611
PP_1997	b2315
PP_4903	b4161
PP_1877	b1832
PP_1636	b4042
PP_0671	b2551
