PP_0514	H16_A2848
PP_2090	H16_B2285
PP_5326	H16_A2441
PP_4481	H16_A3025
PP_4000	H16_A0764
PP_4483	H16_A0045
PP_4483	H16_A0475
PP_4483	H16_A2756
PP_4483	H16_A3308
PP_4483	H16_B1810
PP_4243	H16_B2100
PP_5335	H16_A0571
PP_4487	H16_A2525
PP_4487	H16_B0834
PP_5336	H16_A0570
PP_4251	H16_A2318
PP_3161	H16_A1963
PP_4250	H16_A2319
PP_3162	H16_A1962
PP_4495	H16_B2165
PP_4495	H16_B1082
PP_5100	H16_A0948
PP_4011	H16_A3056
PP_4253	H16_A2316
PP_3163	H16_A1961
PP_3164	H16_A1960
PP_4255	H16_A2319
PP_3165	H16_B0877
PP_3166	H16_A1964
PP_4012	H16_B1931
PP_5104	H16_A0238
PP_4256	H16_A2318
PP_4491	H16_A0431
PP_4490	H16_A3678
PP_4699	H16_A3084
PP_4215	H16_A2693
PP_4698	H16_A3082
PP_4216	H16_B1682
PP_4216	H16_B2226
PP_2039	H16_B0909
PP_4219	H16_B1685
PP_4219	H16_B1683
PP_3129	RALH11977
PP_3129	H16_B0226
PP_4220	H16_B2100
PP_4222	H16_B1688
PP_4221	H16_B1685
PP_4221	H16_B1683
PP_3376	H16_A2586
PP_3376	H16_B1813
PP_4223	H16_B1692
PP_3136	H16_A1216
PP_5315	PHG009
PP_5315	RALH13962
PP_5315	H16_A0735
PP_5315	H16_B2070
PP_2047	H16_A1526
PP_2047	H16_B0724
PP_3378	H16_B1812
PP_5314	PHG009
PP_5314	RALH13962
PP_5314	H16_A0735
PP_5314	H16_B2070
PP_2048	H16_A0816
PP_2048	H16_B1332
PP_4469	H16_B1291
PP_5318	H16_A3107
PP_2051	H16_A1720
PP_2051	H16_B0668
PP_2051	H16_A1528
PP_3382	H16_A1591
PP_4473	H16_A1225
PP_3144	H16_A3622
PP_4474	H16_A2769
PP_2056	H16_A0299
PP_4235	H16_A3455
PP_3146	H16_A0856
PP_2057	H16_B1015
PP_2137	H16_B0200
PP_5409	H16_A0263
PP_5412	H16_A3636
PP_5411	H16_A0262
PP_2145	H16_A2550
PP_1294	H16_A2262
PP_1293	H16_A2263
PP_1292	H16_A0554
PP_1059	H16_B2165
PP_1059	H16_B1082
PP_5414	H16_A3638
PP_4325	PHG216
PP_4325	H16_B0954
PP_5413	H16_A3637
PP_4327	H16_B0952
PP_4327	PHG214
PP_5415	H16_A3639
PP_4326	H16_B0953
PP_4326	PHG215
PP_5418	H16_A3642
PP_5417	H16_A3641
PP_5419	H16_A3643
PP_4570	H16_A0967
PP_4571	H16_B2378
PP_4571	H16_A0807
PP_3002	H16_A3161
PP_1025	H16_B0081
PP_1024	H16_B1213
PP_3446	H16_A0427
PP_4779	H16_B0070
PP_4301	H16_A3602
PP_4301	H16_B0961
PP_4784	H16_A0734
PP_4300	H16_A3601
PP_4300	H16_A2132
PP_2123	H16_A2264
PP_0186	H16_A2920
PP_1032	H16_A2028
PP_1031	H16_A2030
PP_0184	H16_A2925
PP_1037	H16_A1511
PP_1277	H16_A1854
PP_1277	H16_A2905
PP_4305	H16_A2247
PP_2368	H16_B2162
PP_3457	H16_A2582
PP_4549	H16_A3288
PP_4548	H16_A0856
PP_4309	H16_B2481
PP_3219	H16_B1865
PP_4550	H16_A3288
PP_2371	H16_A2999
PP_2130	H16_A0991
PP_2130	H16_A2668
PP_4794	H16_A3139
PP_4310	H16_B2482
PP_2375	H16_A0151
PP_1009	H16_A3146
PP_0158	H16_A2818
PP_0399	H16_A2910
PP_0156	H16_A0850
PP_0156	H16_A3128
PP_0156	H16_B1715
PP_0156	H16_A1264
PP_0155	H16_A1266
PP_0155	H16_A0852
PP_0155	H16_B1714
PP_0155	H16_A3131
PP_2334	H16_A1905
PP_2335	H16_A2636
PP_2335	H16_A1906
PP_3666	H16_B1506
PP_4998	H16_A2913
PP_4756	H16_B1890
PP_2336	H16_A1907
PP_3425	H16_A1768
PP_3425	H16_B1113
PP_4997	H16_A2914
PP_3668	H16_A2777
PP_3426	H16_A3356
PP_3426	H16_A1769
PP_3426	H16_B1114
PP_4758	H16_B0323
PP_4757	H16_B0127
PP_2338	H16_A1909
PP_4999	H16_A2912
PP_2339	H16_B0568
PP_1496	H16_A1167
PP_1254	H16_B1142
PP_1011	H16_B2564
PP_1494	H16_B2050
PP_1494	H16_B1522
PP_1494	H16_B2212
PP_1010	H16_A1178
PP_1010	H16_B2567
PP_1018	H16_A2327
PP_0169	H16_B2220
PP_1256	H16_B0130
PP_1256	H16_B0212
PP_1256	H16_B0322
PP_1255	H16_A0841
PP_1255	H16_A0857
PP_3433	H16_B1083
PP_2589	H16_B1939
PP_2589	H16_A2747
PP_2589	H16_B1879
PP_2589	H16_B1960
PP_2589	H16_A1495
PP_2106	H16_B1234
PP_2351	H16_A1616
PP_2351	H16_A2462
PP_2112	H16_A2638
PP_1023	H16_B2565
PP_1022	H16_A0316
PP_1022	H16_B1501
PP_1022	H16_B2566
PP_1226	H16_A2826
PP_0378	H16_B1051
PP_0376	H16_B1049
PP_2795	H16_B1148
PP_4976	H16_A0244
PP_2797	H16_B1337
PP_2797	H16_B1355
PP_4736	H16_B0460
PP_4735	H16_A2665
PP_4735	H16_B0090
PP_4977	H16_A0246
PP_3648	H16_A0535
PP_3648	H16_B2288
PP_2318	H16_A1500
PP_1231	H16_A3038
PP_0383	H16_A1586
PP_1471	H16_A2265
PP_1470	H16_A2266
PP_0380	RALH1_K21133
PP_1237	H16_A1204
PP_1478	H16_B1142
PP_0147	H16_B1015
PP_1235	H16_A2269
PP_0145	H16_A0397
PP_0145	H16_B0835
PP_4984	H16_A0180
PP_2324	H16_B1076
PP_2324	H16_A1122
PP_3416	H16_A1179
PP_3658	H16_A1629
PP_3658	H16_B1919
PP_3417	H16_B1207
PP_2328	H16_A2997
PP_2329	H16_A3087
PP_4993	H16_A0323
PP_0154	H16_A1358
PP_1484	H16_B1829
PP_1484	H16_B0109
PP_1484	H16_B1951
PP_1484	H16_B0462
PP_0391	H16_A0588
PP_4717	H16_A2446
PP_1205	H16_A3246
PP_0115	H16_A3109
PP_0115	H16_B1428
PP_0114	H16_A0811
PP_0113	H16_A0812
PP_0113	H16_B1477
PP_0597	H16_A3664
PP_0597	H16_A0273
PP_0112	H16_A2125
PP_0112	H16_B2232
PP_0112	H16_A0813
PP_0112	H16_B1479
PP_0596	H16_A0272
PP_1200	H16_B0977
PP_1200	H16_A1419
PP_1200	PHG116
PP_2774	H16_A0045
PP_2774	H16_A0475
PP_2774	H16_A2756
PP_2774	H16_A3308
PP_2774	H16_B1810
PP_1686	H16_A0065
PP_4716	H16_A2445
PP_4715	H16_A1047
PP_4960	H16_A0568
PP_0363	H16_A0181
PP_0121	H16_A2744
PP_0362	H16_A0183
PP_0129	H16_A0406
PP_0127	H16_A0161
PP_0368	H16_A0460
PP_1457	H16_A1892
PP_0366	H16_A0182
PP_1213	H16_A0453
PP_4963	PHG417
PP_4963	H16_B1385
PP_4963	H16_A0566
PP_2543	H16_B1890
PP_4965	H16_A3147
PP_4965	PHG420
PP_4965	H16_B1388
PP_4723	H16_A2452
PP_3633	H16_B0337
PP_4964	PHG418
PP_4964	H16_B1386
PP_2545	H16_A0107
PP_4967	H16_A0230
PP_4725	H16_A3141
PP_4724	H16_A2454
PP_3637	H16_A0357
PP_2793	H16_B1826
PP_2794	H16_A1267
PP_2794	H16_A1325
PP_2794	H16_B1334
PP_4971	H16_A3314
PP_0338	H16_A1375
PP_3606	H16_A0933
PP_1426	H16_A3036
PP_0336	H16_A2806
PP_1664	H16_A3042
PP_1665	H16_A3077
PP_3601	H16_B0965
PP_3602	H16_B0130
PP_3602	H16_B0212
PP_3602	H16_B0322
PP_4934	H16_A0803
PP_3844	H16_A2097
PP_2513	H16_A2419
PP_4935	H16_A2666
PP_4935	H16_A0904
PP_0339	H16_A1753
PP_0339	H16_B1300
PP_0339	H16_A1374
PP_1672	H16_A2969
PP_0341	H16_A0559
PP_2528	H16_A1313
PP_2528	H16_B2229
PP_0106	H16_A0347
PP_1436	H16_A2552
PP_0105	H16_A0345
PP_0104	H16_A0343
PP_0103	H16_A0342
PP_0586	H16_A3668
PP_0586	H16_A1976
PP_0586	H16_A2173
PP_0342	H16_A2884
PP_4701	H16_A1502
PP_4701	H16_B1502
PP_1675	H16_A2963
PP_4700	H16_A2959
PP_1676	H16_A2964
PP_1677	H16_A2961
PP_4702	H16_A2525
PP_4702	H16_B0834
PP_1678	H16_A2962
PP_4947	H16_A3631
PP_1679	H16_A2968
PP_1680	H16_A2966
PP_0110	H16_A0352
PP_0591	H16_A1014
PP_0591	H16_B2033
PP_0558	H16_A3172
PP_1649	H16_A1681
PP_1649	H16_A1682
PP_0556	H16_B0143
PP_3829	H16_A0676
PP_0555	H16_B0144
PP_0554	H16_B0145
PP_0554	H16_B2234
PP_0553	H16_B0146
PP_0793	H16_A0311
PP_2973	H16_A1027
PP_3821	H16_A2752
PP_1645	H16_A3585
PP_0559	H16_A3171
PP_0561	H16_A3455
PP_0560	H16_A3170
PP_0327	H16_A2505
PP_0327	H16_B1956
PP_1416	H16_A3720
PP_1416	PHG080
PP_1416	H16_A2775
PP_1416	H16_B2053
PP_1416	PHG079
PP_0325	H16_B0641
PP_4928	H16_A2883
PP_0322	H16_A2834
PP_0321	H16_A2762
PP_1654	H16_B2378
PP_1654	H16_A0807
PP_4922	H16_A0235
PP_1656	H16_A1337
PP_0777	H16_A3102
PP_2958	H16_A0334
PP_2716	H16_A2178
PP_2716	H16_A2177
PP_1628	H16_A1488
PP_1628	H16_A3156
PP_0774	H16_B1871
PP_0530	H16_B1223
PP_1620	H16_A2376
PP_0538	H16_A0746
PP_1625	H16_A0638
PP_1625	H16_A2591
PP_0547	H16_A3167
PP_0789	H16_A3236
PP_1638	H16_B0102
PP_3816	H16_B1830
PP_0545	H16_B1939
PP_0545	H16_A2747
PP_0545	H16_B1879
PP_0545	H16_B1960
PP_0545	H16_A1495
PP_3817	H16_B1829
PP_3817	H16_B0109
PP_3817	H16_B1951
PP_3817	H16_B0462
PP_0787	H16_A3037
PP_0787	H16_B0560
PP_0303	H16_B1797
PP_0786	H16_A0753
PP_4909	H16_A1452
PP_0543	H16_B0096
PP_0542	H16_B0097
PP_1872	H16_A2267
PP_1874	H16_A3102
PP_4900	H16_A0595
PP_3813	H16_A2854
PP_1636	H16_A1027
PP_0548	H16_B2447
PP_0548	H16_A3372
PP_0548	H16_A3344
PP_0631	H16_A3258
PP_0871	H16_A1588
PP_0871	H16_A0940
PP_0871	H16_A0942
PP_0870	H16_A0941
PP_1722	H16_A0675
PP_0879	H16_A2952
PP_0879	H16_B0717
PP_0879	H16_A1303
PP_0879	H16_A1470
PP_0879	H16_A3295
PP_0879	H16_B1125
PP_0878	H16_B0716
PP_0878	H16_A1304
PP_0878	H16_A2953
PP_0878	H16_A3294
PP_0878	H16_A1471
PP_0878	H16_B1124
PP_5098	H16_A0212
PP_5097	H16_A0211
PP_0880	H16_A2951
PP_0880	H16_A1472
PP_0880	H16_A2098
PP_5095	H16_A3106
PP_0402	H16_A0513
PP_0881	H16_B0720
PP_1972	H16_B1081
PP_1972	H16_A1151
PP_1972	H16_A1494
PP_1945	H16_A1370
PP_0854	H16_A2363
PP_1705	H16_B0779
PP_1706	H16_B0778
PP_1700	H16_A1315
PP_1943	H16_A2505
PP_1943	H16_B1956
PP_0614	H16_A1475
PP_0614	H16_A1734
PP_0614	H16_B2014
PP_0614	H16_B2069
PP_5076	H16_A3431
PP_5078	H16_A3434
PP_5079	H16_A3435
PP_5074	H16_A3633
PP_2805	H16_A1145
PP_0860	H16_B2500
PP_0869	H16_A1588
PP_0869	H16_A0940
PP_0869	H16_A0942
PP_0626	H16_A2740
PP_0626	PHG414
PP_0868	H16_A0943
PP_0867	H16_B2570
PP_5085	H16_A1002
PP_5085	H16_A3153
PP_5084	H16_A0665
PP_5084	H16_B1965
PP_5084	H16_A3441
PP_0833	H16_A3113
PP_0832	H16_A3112
PP_1924	H16_A3586
PP_1928	H16_A2178
PP_1928	H16_A2177
PP_0838	H16_A1214
PP_5296	H16_A0953
PP_5054	H16_A0334
PP_5291	H16_A0224
PP_0602	H16_A3045
PP_0844	H16_A1160
PP_0601	H16_A3066
PP_0843	H16_A1159
PP_0842	H16_B0494
PP_0842	H16_A1158
PP_0840	H16_A1216
PP_0849	H16_A2368
PP_0606	H16_A3031
PP_0847	H16_A1164
PP_0603	H16_A3046
PP_5064	H16_B2131
PP_5064	H16_B1851
PP_5064	H16_A3663
PP_5066	H16_A2773
PP_5063	H16_B1939
PP_5063	H16_A2747
PP_5063	H16_B1879
PP_5063	H16_B1960
PP_5063	H16_A1495
PP_1902	H16_A0604
PP_1904	H16_A3061
PP_5029	H16_A3013
PP_0817	H16_B1186
PP_0815	H16_A1074
PP_0815	H16_B1028
PP_0814	H16_A1641
PP_0814	H16_A1073
PP_0814	H16_B1027
PP_0813	H16_A1642
PP_0813	H16_A1072
PP_0813	H16_B1026
PP_0812	H16_A1643
PP_0812	H16_A1071
PP_0812	H16_B1025
PP_1900	H16_A0606
PP_4185	H16_A0548
PP_5032	H16_A3018
PP_5031	H16_B2165
PP_5031	H16_B1082
PP_5273	H16_A0856
PP_4187	H16_A2323
PP_4186	H16_A0547
PP_5033	H16_A0695
PP_5033	H16_A3017
PP_5278	H16_B1939
PP_5278	H16_A2747
PP_5278	H16_B1879
PP_5278	H16_B1960
PP_5278	H16_A1495
PP_4189	H16_A2325
PP_3099	H16_A0653
PP_3099	H16_B2433
PP_5036	H16_A3014
PP_4188	H16_A2324
PP_5270	H16_A1505
PP_5270	H16_A0817
PP_5030	H16_A3015
PP_1912	H16_A2570
PP_1913	H16_A2568
PP_1914	H16_A2567
PP_1914	H16_B1904
PP_1915	H16_A2566
PP_1916	H16_A2565
PP_0827	H16_B0291
PP_0826	H16_B0292
PP_0825	H16_A3225
PP_0825	H16_B0293
PP_0825	H16_B1284
PP_0825	RALH1_K22388
PP_0825	H16_A0290
PP_0824	H16_B0294
PP_0823	H16_B0295
PP_5285	H16_A3048
PP_5286	H16_A3049
PP_5289	H16_A0208
PP_5046	H16_A2335
PP_5046	H16_B0618
PP_5288	H16_A2885
PP_5288	H16_A1847
PP_4190	H16_A2629
PP_4191	H16_A2630
PP_4194	H16_A2627
PP_5041	H16_B1562
PP_5040	H16_B1390
PP_5040	H16_A0999
PP_5040	PHG027
PP_5040	PHG422
PP_4159	H16_B0896
PP_3073	H16_A1334
PP_3073	H16_A1814
PP_3074	H16_A3185
PP_5011	H16_A0445
PP_5014	H16_A3409
PP_5013	H16_A0448
PP_5258	H16_A3345
PP_5015	H16_A3408
PP_4161	H16_B0898
PP_3071	H16_A2860
PP_4160	H16_B0897
PP_0808	PHG200
PP_5269	H16_A2113
PP_0809	H16_A2110
PP_3080	H16_B1076
PP_3080	H16_A1122
PP_4138	H16_A2290
PP_5227	H16_A3443
PP_5228	H16_A0227
PP_4140	H16_A2930
PP_5233	H16_A0321
PP_4144	H16_A2464
PP_4147	H16_A2409
PP_4149	H16_A2407
PP_4148	H16_A2408
PP_5246	H16_A3527
PP_4150	H16_B2463
PP_4150	H16_A2406
PP_4150	H16_A2085
PP_4150	H16_A2101
PP_4116	H16_A2227
PP_3272	H16_B1337
PP_3272	H16_B1355
PP_2183	H16_A0640
PP_2184	H16_A0641
PP_4120	H16_A1051
PP_3274	H16_A3524
PP_3274	H16_B1359
PP_3274	H16_B0544
PP_2185	H16_A0642
PP_4123	H16_A1055
PP_3275	H16_B1360
PP_3275	H16_A3523
PP_2186	H16_A0644
PP_3276	H16_A3522
PP_3276	H16_B1361
PP_4125	H16_A1057
PP_3277	H16_B1362
PP_3277	H16_A3521
PP_5213	H16_A2859
PP_3278	H16_B1363
PP_3278	H16_A3520
PP_1097	H16_A2945
PP_3270	H16_B1917
PP_5216	H16_A2436
PP_3279	H16_A3313
PP_3279	H16_B1357
PP_4126	H16_A1058
PP_5215	H16_A2394
PP_4129	H16_A1061
PP_5217	H16_A2437
PP_5217	H16_B1019
PP_3282	H16_A1102
PP_3283	H16_A0873
PP_3283	H16_A3311
PP_3284	H16_A0100
PP_3284	H16_A3307
PP_3285	H16_A1192
PP_3280	H16_B0200
PP_1069	H16_A0474
PP_1068	H16_A0045
PP_1068	H16_A0475
PP_1068	H16_A2756
PP_1068	H16_A3308
PP_1068	H16_B1810
PP_1070	H16_A0473
PP_2160	H16_A0426
PP_1078	H16_A0762
PP_1075	H16_A2507
PP_1071	H16_A0771
PP_1071	H16_A0472
PP_1079	H16_A3063
PP_2168	H16_A2346
PP_4106	H16_B1890
PP_4108	H16_B0981
PP_4594	H16_A2606
PP_1086	H16_A0479
PP_1082	H16_A0267
PP_1082	H16_A0328
PP_4677	H16_A1039
PP_3346	H16_B0716
PP_3346	H16_A1304
PP_3346	H16_A2953
PP_3346	H16_A3294
PP_3346	H16_A1471
PP_3346	H16_B1124
PP_4434	H16_A1505
PP_4434	H16_A0817
PP_4679	H16_A1036
PP_2017	H16_A1000
PP_4678	H16_A1037
PP_3590	H16_B1081
PP_3590	H16_A1151
PP_3590	H16_A1494
PP_4680	H16_A1035
PP_2265	H16_A1370
PP_4202	H16_A0814
PP_3597	H16_A0045
PP_3597	H16_A0475
PP_3597	H16_A2756
PP_3597	H16_A3308
PP_3597	H16_B1810
PP_4201	H16_A0815
PP_1177	H16_A3234
PP_0083	H16_A2614
PP_0082	H16_A2612
PP_1179	H16_A3235
PP_4203	H16_A1324
PP_3599	H16_B0131
PP_3357	H16_A1114
PP_3122	H16_B0198
PP_3122	H16_A1331
PP_3122	PHG388
PP_4210	H16_B1610
PP_4210	H16_B2139
PP_4210	H16_A1174
PP_3123	H16_A1332
PP_3123	PHG387
PP_3123	H16_B0199
PP_5302	H16_A0955
PP_1188	H16_A0299
PP_0059	H16_A0520
PP_4897	H16_A0597
PP_2476	H16_A1533
PP_4655	H16_B2290
PP_4656	H16_B2291
PP_4659	H16_A0784
PP_4659	RALH12597
PP_2239	H16_B0783
PP_2000	H16_A2607
PP_4422	H16_B1537
PP_4422	H16_B1179
PP_4422	H16_B0982
PP_4422	H16_B2057
PP_2001	H16_A2606
PP_2486	H16_A1696
PP_2486	H16_B2164
PP_2486	H16_A1667
PP_2486	H16_B2161
PP_2486	H16_A1789
PP_0061	H16_A0523
PP_0060	H16_A0521
PP_0067	H16_A3699
PP_4666	H16_B1190
PP_4666	H16_B1750
PP_2246	H16_B1130
PP_4426	H16_A0046
PP_4426	H16_A3309
PP_2489	H16_B1142
PP_4425	H16_A0045
PP_4425	H16_A0475
PP_4425	H16_A2756
PP_4425	H16_A3308
PP_4425	H16_B1810
PP_4667	H16_B1191
PP_3581	H16_B2043
PP_4670	H16_A2518
PP_4670	H16_A2497
PP_3343	H16_A2950
PP_3344	H16_A2951
PP_3344	H16_A1472
PP_3344	H16_A2098
PP_2255	H16_A3590
PP_2255	H16_B2454
PP_0075	H16_A1366
PP_0074	H16_A3161
PP_0073	H16_A0914
PP_0072	H16_A0933
PP_1129	H16_A2802
PP_1367	H16_A2505
PP_1367	H16_B1956
PP_2213	H16_B1102
PP_2214	H16_A0602
PP_2214	H16_B1894
PP_2214	H16_B0388
PP_2215	H16_A0170
PP_2215	PHG232
PP_2216	H16_B1192
PP_2216	H16_A0172
PP_2217	H16_A0100
PP_2217	H16_A3307
PP_4636	H16_B0381
PP_4636	H16_A1438
PP_4639	H16_A3373
PP_4639	H16_A0195
PP_3794	H16_A1386
PP_3311	H16_A3527
PP_3553	H16_B1148
PP_0044	H16_B2408
PP_0043	H16_B2407
PP_1132	H16_B0439
PP_0284	H16_B1890
PP_0283	H16_A0045
PP_0283	H16_A0475
PP_0283	H16_A2756
PP_0283	H16_A3308
PP_0283	H16_B1810
PP_1139	H16_A3028
PP_1139	H16_A2624
PP_1138	H16_A1244
PP_1138	H16_A3027
PP_1138	RALH11797
PP_1138	H16_A2623
PP_1138	H16_A0286
PP_1137	H16_B2012
PP_1137	H16_A3026
PP_1137	H16_A1543
PP_1137	H16_A2622
PP_1137	H16_B2040
PP_1137	H16_A1709
PP_1379	H16_B2289
PP_0289	H16_A3414
PP_1377	H16_B0200
PP_0045	H16_B2409
PP_1376	H16_B0877
PP_4402	H16_B0145
PP_4402	H16_B2234
PP_2465	H16_A1339
PP_3796	H16_B1680
PP_4404	H16_A2323
PP_2225	H16_A1876
PP_2226	H16_A1877
PP_2469	H16_A1343
PP_2227	H16_A1878
PP_4889	H16_A2354
PP_2229	H16_A1880
PP_2470	H16_A1344
PP_4890	H16_A2355
PP_4893	H16_A2358
PP_4651	H16_B1461
PP_4651	H16_B1177
PP_2230	H16_A1881
PP_3320	H16_A3409
PP_4650	H16_B1176
PP_4650	H16_B1462
PP_4653	H16_B2578
PP_3322	H16_A3453
PP_0297	H16_A3622
PP_1386	H16_A3729
PP_1144	H16_B2043
PP_1385	H16_A3730
PP_1384	H16_B0787
PP_1141	H16_A2626
PP_0293	H16_A3410
PP_1140	H16_A3029
PP_1140	H16_A2625
PP_1140	H16_B2037
PP_1382	H16_B1243
PP_1381	H16_A0535
PP_1381	H16_B2288
PP_0292	H16_A3411
PP_1380	H16_B1583
PP_1380	H16_A1968
PP_0290	H16_A3412
PP_4619	H16_A0362
PP_1346	H16_A3263
PP_1343	H16_A3266
PP_2674	H16_B1047
PP_2675	H16_B1056
PP_4613	H16_B2570
PP_2435	H16_B0494
PP_2435	H16_A1158
PP_1588	H16_A2065
PP_2437	H16_A1091
PP_2437	PHG222
PP_2679	H16_B1047
PP_4617	H16_B0449
PP_2680	H16_B1939
PP_2680	H16_A2747
PP_2680	H16_B1879
PP_2680	H16_B1960
PP_2680	H16_A1495
PP_1593	H16_A2053
PP_4620	H16_B1670
PP_1595	H16_A2051
PP_2209	H16_B1953
PP_0265	H16_A1848
PP_0265	H16_A2906
PP_4864	H16_A1244
PP_4864	H16_A3027
PP_4864	RALH11797
PP_4864	H16_A2623
PP_4864	H16_A0286
PP_1596	H16_A2088
PP_4863	H16_B2012
PP_4863	H16_A3026
PP_4863	H16_A1543
PP_4863	H16_A2622
PP_4863	H16_B2040
PP_4863	H16_A1709
PP_1597	H16_A2049
PP_4621	H16_B1671
PP_3533	H16_A0689
PP_4866	H16_A3029
PP_4866	H16_A2625
PP_4866	H16_B2037
PP_4865	H16_A3028
PP_4865	H16_A2624
PP_3535	H16_A1098
PP_4868	H16_A2589
PP_2205	H16_B2185
PP_3537	H16_B2286
PP_2448	H16_A0856
PP_4867	H16_A2626
PP_3540	H16_A0186
PP_3540	RALH12112
PP_2694	H16_B1939
PP_2694	H16_A2747
PP_2694	H16_B1879
PP_2694	H16_B1960
PP_2694	H16_A1495
PP_2453	H16_A1910
PP_2453	H16_A2280
PP_1362	H16_A0567
PP_0239	H16_A2243
PP_0238	H16_A2244
PP_0237	H16_A2245
PP_0237	H16_B0527
PP_0236	H16_A2246
