PP_0514	KPN_00366
PP_0411	KPN_00886
PP_0411	KPN_01927
PP_0774	KPN_02792
PP_0774	KPN_02688
PP_0530	KPN_03454
PP_1620	KPN_03106
PP_1985	KPN_00078
PP_1743	KPN_04476
PP_1986	KPN_00077
PP_0538	KPN_04621
PP_0659	KPN_04233
PP_0659	KPN_03410
PP_1988	KPN_00079
PP_0416	KPN_03756
PP_0660	KPN_02594
PP_0660	KPN_00309
PP_0547	KPN_04627
PP_0789	KPN_00112
PP_0545	KPN_02991
PP_0545	KPN_00585
PP_0545	KPN_01455
PP_0545	KPN_01018
PP_3817	KPN_01132
PP_3817	KPN_00886
PP_3817	KPN_01927
PP_0787	KPN_00111
PP_0786	KPN_00920
PP_0422	KPN_01255
PP_4909	KPN_04843
PP_0543	KPN_02784
PP_3819	KPN_03866
PP_0421	KPN_01256
PP_4908	KPN_04557
PP_0420	KPN_03746
PP_1996	KPN_02706
PP_2843	KPN_03465
PP_1755	KPN_01517
PP_1997	KPN_02705
PP_2844	KPN_03466
PP_2845	KPN_03467
PP_4903	KPN_04558
PP_1636	KPN_04430
PP_0548	KPN_02701
PP_0671	KPN_02876
