YPO1049	STM0221
YPO3142	STM0463
YPO2053	STM1901
YPO3384	STM0207
YPO3141	STM0464
YPO2294	STM3795
YPO3383	STM0208
YPO3020	STM3336
YPO2293	STM3901
YPO2293	STM3796
YPO3380	STM2956
YPO3016	STM3338
YPO1199	STM2162
YPO1199	STM2164
YPO3015	STM4063
YPO3015	STM2444
YPO3378	STM2954
YPO3377	STM2953
YPO3014	STM2443
YPO2167	STM1301
YPO2288	STM2009
YPO2046	STM1909
YPO3376	STM2952
YPO3013	STM2442
YPO3012	STM2441
YPO1198	STM2163
YPO3375	STM1044
YPO3375	STM1440
YPO3132	STM3390
YPO3011	STM2440
YPO3011	STM2430
YPO2164	STM1297
YPO1074	STM0248
YPO1075	STM0255
YPO1072	STM0246
YPO3372	STM2948
YPO1073	STM0247
YPO3371	STM2947
YPO2161	STM1294
YPO1194	STM2533
YPO2160	STM1293
YPO2158	STM1291
YPO2157	STM1290
YPO3366	STM2935
YPO1068	STM0242
YPO3123	STM0483
YPO3365	STM2934
YPO3244	STM0309
YPO3364	STM2933
YPO3243	STM0310
YPO2394	STM1377
YPO3361	STM2930
YPO2393	STM1378
YPO3360	STM2929
YPO0091	STM4087
YPO0091	STM2037
YPO2391	STM1426
YPO1060	STM0232
YPO2390	STM1427
YPO3118	STM0488
YPO3117	STM0489
YPO3358	STM2927
YPO2147	STM1803
YPO3115	STM2092
YPO1056	STM0228
YPO0088	STM4084
YPO1177	STM2167
YPO1298	STM2206
YPO1057	STM0229
YPO1299	STM2205
YPO3113	STM2090
YPO1054	STM0226
YPO1055	STM0227
YPO1176	STM2168
YPO2021	STM1772
YPO2142	STM1806
YPO2263	STM1467
YPO0085	STM4081
YPO2383	STM1433
YPO2141	STM1807
YPO3230	STM0316
YPO1050	STM0222
YPO1171	STM2422
YPO2381	STM1435
YPO1290	STM2791
YPO1601	STM1197
YPO1964	STM1305
YPO1965	STM1306
YPO1962	STM1303
YPO1962	STM3468
YPO1600	STM1196
YPO2930	STM2578
YPO1963	STM1304
YPO2929	STM2577
YPO1958	STM1771
YPO2921	STM2565
YPO2908	STM2556
YPO2907	STM2555
YPO2904	STM2554
YPO0844	STM3253
YPO0960	STM0701
YPO0960	STM3114
YPO4082	STM3665
YPO4080	STM3664
YPO0958	STM3882
YPO0958	STM2189
YPO0954	STM1799
YPO0954	STM3112
YPO0832	STM3257
YPO4078	STM3646
YPO4072	STM3656
YPO4071	STM3655
YPO1916	STM0596
YPO0945	STM3103
YPO4068	STM3256
YPO4068	STM3685
YPO3099	STM2084
YPO4067	STM3686
YPO3097	STM2104
YPO3095	STM0491
YPO4061	STM4055
YPO4061	STM1431
YPO0935	STM3095
YPO0931	STM3090
YPO4057	STM1569
YPO4057	STM4036
YPO4056	STM1568
YPO4056	STM4035
YPO4054	STM3683
YPO3080	STM0506
YPO0929	STM3086
YPO0926	STM3076
YPO0926	STM2474
YPO0921	STM3069
YPO0922	STM3070
YPO0920	STM3068
YPO4048	STM0866
YPO3077	STM0533
YPO3076	STM0534
YPO3075	STM0535
YPO3073	STM0537
YPO3193	STM0403
YPO0918	STM3066
YPO0914	STM3062
YPO0915	STM3063
YPO3868	STM3915
YPO0116	STM4101
YPO0358	STM4341
YPO0117	STM4105
YPO2899	STM2546
YPO1569	STM3694
YPO1327	STM0872
YPO0359	STM4342
YPO2777	STM0662
YPO2777	STM2351
YPO2777	STM0828
YPO0477	STM0049
YPO3866	STM3918
YPO1324	STM0865
YPO2776	STM2352
YPO3986	STM4064
YPO0357	STM4340
YPO3865	STM3919
YPO3864	STM3920
YPO3501	STM3295
YPO2533	STM1885
YPO2896	STM2543
YPO0475	STM0046
YPO2775	STM2353
YPO3743	STM4159
YPO3500	STM3294
YPO3742	STM4160
YPO3863	STM3921
YPO2774	STM2354
YPO2774	STM2355
YPO3862	STM3922
YPO3862	STM2097
YPO3741	STM4162
YPO2773	STM2356
YPO1441	STM1076
YPO3861	STM2095
YPO0474	STM0045
YPO2772	STM2362
YPO3740	STM4163
YPO1321	STM2970
YPO1200	STM4294
YPO3980	STM2492
YPO3980	STM2959
YPO3980	STM0525
YPO3980	STM3247
YPO0470	STM0039
YPO2409	STM1349
YPO3739	STM4164
YPO3859	STM3925
YPO2649	STM2807
YPO2528	STM2310
YPO2769	STM2365
YPO2648	STM2808
YPO3858	STM3926
YPO2527	STM2309
YPO2768	STM2366
YPO2647	STM2809
YPO2889	STM2536
YPO3736	STM4166
YPO0347	STM3599
YPO0347	STM4325
YPO3857	STM3927
YPO2646	STM2810
YPO3977	STM3597
YPO2525	STM2307
YPO0348	STM4326
YPO3856	STM3928
YPO3734	STM4167
YPO2524	STM2306
YPO3855	STM3929
YPO0345	STM4323
YPO2645	STM2811
YPO3854	STM0150
YPO3854	STM4398
YPO3854	STM0568
YPO3854	STM1584
YPO2523	STM2305
YPO0104	STM4090
YPO2763	STM2370
YPO2883	STM2526
YPO1430	STM1067
YPO3851	STM3936
YPO0463	STM2473
YPO0463	STM0007
YPO3971	STM1299
YPO0584	STM3225
YPO3850	STM3937
YPO0460	STM0003
YPO0461	STM0004
YPO3729	STM4175
YPO3728	STM4176
YPO3849	STM3938
YPO1548	STM2072
YPO3727	STM4182
YPO0459	STM0002
YPO3848	STM3939
YPO3726	STM4183
YPO2879	STM2523
YPO1549	STM2071
YPO1546	STM2074
YPO3725	STM4184
YPO2878	STM2522
YPO2757	STM2378
YPO3967	STM3589
YPO2514	STM0662
YPO2514	STM2351
YPO2514	STM0828
YPO3845	STM3947
YPO2635	STM0694
YPO2635	STM3045
YPO1547	STM2073
YPO0579	STM3137
YPO2513	STM0829
YPO1544	STM2076
YPO0334	STM4050
YPO3964	STM3882
YPO3964	STM2189
YPO0577	STM3134
YPO1545	STM2075
YPO2512	STM0830
YPO2995	STM2431
YPO2995	STM2433
YPO1542	STM2078
YPO1300	STM2204
YPO1300	STM3255
YPO1543	STM2077
YPO2752	STM2383
YPO2993	STM2431
YPO2993	STM2433
YPO1540	STM2098
YPO1540	STM1752
YPO2751	STM2384
YPO2630	STM0686
YPO1661	STM3763
YPO1661	STM4456
YPO0330	STM4047
YPO2871	STM2511
YPO1541	STM2081
YPO0452	STM4582
YPO2870	STM2510
YPO3719	STM4220
YPO1539	STM2098
YPO1539	STM1752
YPO3718	STM4221
YPO0329	STM4046
YPO2628	STM0685
YPO2628	STM1203
YPO3837	STM3952
YPO2627	STM0684
YPO3716	STM4227
YPO2626	STM0683
YPO3715	STM4228
YPO0328	STM4045
YPO1414	STM1057
YPO3714	STM4229
YPO1415	STM1058
YPO3834	STM3957
YPO3712	STM4230
YPO3712	STM3554
YPO3954	STM4482
YPO3954	STM3512
YPO0565	STM0137
YPO1775	STM1883
YPO2623	STM0680
YPO1412	STM1000
YPO2744	STM2391
YPO3953	STM4485
YPO3953	STM3542
YPO1413	STM1004
YPO3832	STM3959
YPO3711	STM4231
YPO1410	STM0998
YPO1410	STM4248
YPO0321	STM1802
YPO0321	STM4247
YPO2984	STM2415
YPO0442	STM4578
YPO1773	STM1824
YPO3831	STM3960
YPO2621	STM0671
YPO0322	STM0998
YPO0322	STM4248
YPO2983	STM2409
YPO3830	STM3961
YPO1771	STM3240
YPO1771	STM1826
YPO1771	STM2196
YPO1771	STM2971
YPO0561	STM0134
YPO2982	STM2408
YPO0440	STM4570
YPO0682	STM3159
YPO0683	STM3158
YPO3949	STM3539
YPO0439	STM4569
YPO2859	STM2146
YPO3827	STM2282
YPO2616	STM0666
YPO2615	STM0665
YPO2736	STM2252
YPO3825	STM2285
YPO0556	STM0129
YPO2977	STM2403
YPO2614	STM0664
YPO2735	STM2253
YPO1524	STM2122
YPO3824	STM2286
YPO1766	STM1105
YPO0557	STM0130
YPO2613	STM0663
YPO2734	STM2254
YPO1525	STM2121
YPO0436	STM4567
YPO2612	STM0662
YPO2612	STM2351
YPO2612	STM0828
YPO1522	STM2155
YPO0796	STM3013
YPO0312	STM4235
YPO0313	STM4236
YPO3942	STM3538
YPO0555	STM0128
YPO0676	STM3165
YPO0552	STM0125
YPO1641	STM1238
YPO2610	STM0648
YPO3941	STM3537
YPO0794	STM3644
YPO0310	STM4233
YPO3820	STM3576
YPO1400	STM0988
YPO0311	STM4234
YPO3940	STM3536
YPO0553	STM0126
YPO0550	STM0123
YPO0792	STM3009
YPO0551	STM0124
YPO0672	STM3173
YPO0793	STM3010
YPO0670	STM3179
YPO3939	STM3535
YPO0549	STM0122
YPO3938	STM3534
YPO2607	STM0645
YPO3937	STM3526
YPO1636	STM1232
YPO1757	STM1831
YPO2846	STM1226
YPO2846	STM0878
YPO2846	STM0428
YPO2604	STM0640
YPO1758	STM1830
YPO2844	STM2792
YPO1756	STM1832
YPO2601	STM0863
YPO2601	STM2062
YPO2601	STM0637
YPO1511	STM1566
YPO1512	STM2183
YPO0783	STM3001
YPO2960	STM0106
YPO1508	STM3882
YPO1508	STM2189
YPO3808	STM3564
YPO3808	STM3567
YPO3929	STM4119
YPO1629	STM1220
YPO3807	STM3563
YPO3928	STM4120
YPO1509	STM2188
YPO3806	STM3562
YPO3927	STM4121
YPO3805	STM3561
YPO2837	STM2502
YPO1507	STM2190
YPO3804	STM3560
YPO1867	STM1945
YPO2957	STM2831
YPO3925	STM4122
YPO2836	STM2501
YPO3924	STM4123
YPO0658	STM3195
YPO0416	STM3723
YPO1505	STM2193
YPO1502	STM1627
YPO0532	STM0112
YPO0533	STM0113
YPO1501	STM2194
YPO2710	STM2641
YPO0654	STM3200
YPO0530	STM0110
YPO0893	STM0694
YPO0893	STM3045
YPO2830	STM1502
YPO0531	STM0111
YPO0891	STM3043
YPO2829	STM2500
YPO2827	STM2498
YPO0648	STM3206
YPO1617	STM1211
YPO2705	STM2646
YPO2705	STM0843
YPO0888	STM3040
YPO3914	STM4126
YPO2824	STM0542
YPO1615	STM1209
YPO3910	STM4130
YPO0521	STM0107
YPO1610	STM3859
YPO0522	STM0108
YPO1851	STM1124
YPO0520	STM0106
YPO3909	STM4131
YPO3907	STM3882
YPO3907	STM2189
YPO1608	STM0685
YPO1608	STM1203
YPO1605	STM1200
YPO2816	STM0222
YPO1966	STM1307
YPO1603	STM1198
