YPO1049	RSK60_00261
YPO3423	RSK60_02452
YPO0155	RSK60_02375
YPO0152	RSK60_02273
YPO3781	RSK60_01239
YPO2692	RSK60_01796
YPO3660	RSK60_02488
YPO2691	RSK60_01795
YPO2690	RSK60_01794
YPO3419	RSK60_03452
YPO3418	RSK60_03453
YPO2329	RSK60_02101
YPO1238	RSK60_01700
YPO3659	RSK60_02487
YPO3417	RSK60_03455
YPO2206	RSK60_04194
YPO2206	RSK60_02370
YPO3658	RSK60_02486
YPO3779	RSK60_01236
YPO2205	RSK60_02369
YPO2205	RSK60_04193
YPO1599	RSK60_00668
YPO1115	RSK60_01131
YPO3899	RSK60_01116
YPO1116	RSK60_01130
YPO2204	RSK60_03195
YPO0024	RSK60_00409
YPO0024	RSK60_04391
YPO0145	RSK60_02266
YPO1597	RSK60_00670
YPO1113	RSK60_00398
YPO1598	RSK60_00669
YPO1114	RSK60_00397
YPO1111	RSK60_03184
YPO1112	RSK60_03185
YPO3771	RSK60_02252
YPO1108	RSK60_03187
YPO3407	RSK60_01469
YPO3769	RSK60_00976
YPO3767	RSK60_02947
YPO3525	RSK60_00921
YPO0378	RSK60_00447
YPO3403	RSK60_02530
YPO3402	RSK60_02830
YPO3401	RSK60_02629
YPO2554	RSK60_03118
YPO2433	RSK60_03364
YPO1587	RSK60_01209
YPO0253	RSK60_03223
YPO3400	RSK60_02631
YPO3521	RSK60_02879
YPO3520	RSK60_03058
YPO0493	RSK60_01174
YPO2551	RSK60_03122
YPO3760	RSK60_02662
YPO0490	RSK60_01012
YPO3519	RSK60_02491
YPO0008	RSK60_00706
YPO2429	RSK60_03368
YPO2549	RSK60_03124
YPO2428	RSK60_03369
YPO0006	RSK60_04561
YPO0006	RSK60_03480
YPO2548	RSK60_03125
YPO3999	RSK60_03237
YPO3999	RSK60_02391
YPO0246	RSK60_02496
YPO2425	RSK60_02819
YPO2303	RSK60_02531
YPO1215	RSK60_00807
YPO2545	RSK60_03128
YPO3513	RSK60_02435
YPO2302	RSK60_02528
YPO0486	RSK60_00759
YPO2422	RSK60_00343
YPO2421	RSK60_00344
YPO1332	RSK60_00070
YPO2420	RSK60_00346
YPO0364	RSK60_03813
YPO3992	RSK60_01413
YPO0482	RSK60_03292
YPO0241	RSK60_01647
YPO0480	RSK60_02516
YPO0481	RSK60_03290
YPO1570	RSK60_02659
YPO1207	RSK60_05025
YPO3627	RSK60_00323
YPO4037	RSK60_05092
YPO4036	RSK60_00425
YPO4036	RSK60_05093
YPO4035	RSK60_05094
YPO3183	RSK60_00969
YPO3183	RSK60_00968
YPO3062	RSK60_00536
YPO3182	RSK60_00972
YPO3180	RSK60_02504
YPO0907	RSK60_01892
YPO0905	RSK60_01890
YPO0906	RSK60_01891
YPO3179	RSK60_02503
YPO3177	RSK60_02973
YPO3176	RSK60_02972
YPO3053	RSK60_00280
YPO3167	RSK60_02339
YPO3166	RSK60_02338
YPO3286	RSK60_00943
YPO3286	RSK60_02600
YPO3165	RSK60_02337
YPO3164	RSK60_02336
YPO2074	RSK60_02400
YPO3162	RSK60_01572
YPO3162	RSK60_01571
YPO4127	RSK60_01855
YPO4126	RSK60_01856
YPO4125	RSK60_01857
YPO2067	RSK60_04682
YPO3034	RSK60_02505
YPO3034	RSK60_03061
YPO2066	RSK60_05002
YPO4123	RSK60_01859
YPO4001	RSK60_00286
YPO4122	RSK60_01860
YPO4000	RSK60_03238
YPO4000	RSK60_02390
YPO4121	RSK60_01861
YPO3032	RSK60_03004
YPO4120	RSK60_01862
YPO4120	RSK60_04313
YPO4119	RSK60_01550
YPO4118	RSK60_01549
YPO4117	RSK60_03300
YPO4116	RSK60_03301
YPO3389	RSK60_01027
YPO4115	RSK60_03302
YPO4114	RSK60_03303
YPO2054	RSK60_01229
YPO3142	RSK60_01400
YPO2053	RSK60_01231
YPO2174	RSK60_00791
YPO2293	RSK60_03101
YPO3380	RSK60_03362
YPO1199	RSK60_02706
YPO3015	RSK60_00329
YPO3377	RSK60_00555
YPO3014	RSK60_00319
YPO2167	RSK60_02426
YPO2288	RSK60_03774
YPO3376	RSK60_00552
YPO3013	RSK60_00318
YPO3012	RSK60_00317
YPO3132	RSK60_04321
YPO3132	RSK60_01709
YPO3011	RSK60_00787
YPO1075	RSK60_00527
YPO1072	RSK60_00783
YPO1073	RSK60_00784
YPO2160	RSK60_00106
YPO2158	RSK60_00094
YPO2157	RSK60_02512
YPO3366	RSK60_02801
YPO1068	RSK60_02442
YPO3123	RSK60_01324
YPO3365	RSK60_02802
YPO3244	RSK60_01153
YPO3364	RSK60_02056
YPO3364	RSK60_03742
YPO3361	RSK60_03504
YPO3360	RSK60_03505
YPO1060	RSK60_00511
YPO3118	RSK60_02677
YPO3117	RSK60_02617
YPO3358	RSK60_00469
YPO2147	RSK60_00778
YPO1056	RSK60_00253
YPO1057	RSK60_00252
YPO1054	RSK60_00255
YPO1055	RSK60_00254
YPO1176	RSK60_03462
YPO2021	RSK60_00554
YPO0085	RSK60_03114
YPO2383	RSK60_02349
YPO2381	RSK60_01171
YPO1290	RSK60_00977
YPO1290	RSK60_04518
YPO1290	RSK60_01691
YPO1290	RSK60_05040
YPO1601	RSK60_00666
YPO1962	RSK60_02787
YPO1600	RSK60_00667
YPO2930	RSK60_00654
YPO2921	RSK60_00059
YPO2912	RSK60_02881
YPO2907	RSK60_00955
YPO0958	RSK60_00425
YPO0958	RSK60_05093
YPO4078	RSK60_00686
YPO4072	RSK60_01165
YPO4071	RSK60_01167
YPO1916	RSK60_04511
YPO0945	RSK60_03043
YPO1913	RSK60_04502
YPO0946	RSK60_03042
YPO1914	RSK60_04501
YPO0942	RSK60_02575
YPO3094	RSK60_04918
YPO4061	RSK60_02684
YPO0935	RSK60_01398
YPO0931	RSK60_01589
YPO3080	RSK60_00054
YPO0926	RSK60_02511
YPO0921	RSK60_01112
YPO3076	RSK60_01108
YPO3075	RSK60_00517
YPO3073	RSK60_00513
YPO3070	RSK60_01914
YPO0918	RSK60_04639
YPO0915	RSK60_00440
YPO3868	RSK60_00485
YPO3626	RSK60_00324
YPO0117	RSK60_01626
YPO2899	RSK60_00520
YPO3625	RSK60_00325
YPO2777	RSK60_02939
YPO2777	RSK60_01766
YPO2777	RSK60_01213
YPO0477	RSK60_02778
YPO3624	RSK60_00326
YPO3623	RSK60_00328
YPO3864	RSK60_04489
YPO3864	RSK60_04020
YPO3501	RSK60_03298
YPO2533	RSK60_05003
YPO2896	RSK60_00700
YPO0475	RSK60_02762
YPO3500	RSK60_03299
YPO3742	RSK60_01613
YPO3863	RSK60_04488
YPO3862	RSK60_01011
YPO3741	RSK60_01391
YPO2773	RSK60_02348
YPO1441	RSK60_03011
YPO3861	RSK60_01009
YPO0474	RSK60_02763
YPO2772	RSK60_03202
YPO3740	RSK60_01614
YPO2409	RSK60_00248
YPO3739	RSK60_01610
YPO3859	RSK60_04477
YPO2769	RSK60_03199
YPO2768	RSK60_03198
YPO3734	RSK60_01875
YPO3854	RSK60_04458
YPO1435	RSK60_00805
YPO2883	RSK60_00462
YPO0463	RSK60_00441
YPO3729	RSK60_03005
YPO3728	RSK60_01191
YPO3849	RSK60_02871
YPO1548	RSK60_02291
YPO3726	RSK60_00303
YPO1546	RSK60_02293
YPO3725	RSK60_00307
YPO2878	RSK60_00457
YPO2757	RSK60_03917
YPO2514	RSK60_02939
YPO2514	RSK60_01766
YPO2514	RSK60_01213
YPO3845	RSK60_01586
YPO2513	RSK60_01765
YPO3964	RSK60_00425
YPO3964	RSK60_05093
YPO0577	RSK60_04336
YPO3722	RSK60_01446
YPO2995	RSK60_02396
YPO2995	RSK60_04575
YPO1542	RSK60_02298
YPO1300	RSK60_02394
YPO1543	RSK60_02297
YPO2993	RSK60_02396
YPO2993	RSK60_04575
YPO1540	RSK60_03624
YPO1540	RSK60_02957
YPO2751	RSK60_03351
YPO2630	RSK60_00899
YPO1661	RSK60_04426
YPO2871	RSK60_00240
YPO2870	RSK60_00238
YPO1539	RSK60_03624
YPO1539	RSK60_02957
YPO3718	RSK60_00056
YPO3837	RSK60_02499
YPO1414	RSK60_03059
YPO1415	RSK60_03478
YPO3712	RSK60_00400
YPO3954	RSK60_04681
YPO0565	RSK60_02441
YPO3953	RSK60_01256
YPO1413	RSK60_00689
YPO1410	RSK60_00709
YPO0321	RSK60_00296
YPO2984	RSK60_00500
YPO0442	RSK60_03501
YPO1773	RSK60_02626
YPO0322	RSK60_00709
YPO1771	RSK60_01889
YPO0561	RSK60_02420
YPO2982	RSK60_04030
YPO1650	RSK60_00746
YPO3949	RSK60_03191
YPO2859	RSK60_01620
YPO2615	RSK60_02938
YPO2615	RSK60_01216
YPO0556	RSK60_02414
YPO2977	RSK60_05000
YPO2614	RSK60_01215
YPO0557	RSK60_02415
YPO2613	RSK60_01214
YPO2612	RSK60_02939
YPO2612	RSK60_01766
YPO2612	RSK60_01213
YPO1522	RSK60_02836
YPO0313	RSK60_03093
YPO3942	RSK60_03785
YPO0555	RSK60_02413
YPO0552	RSK60_02410
YPO1641	RSK60_02735
YPO2610	RSK60_02517
YPO3941	RSK60_03784
YPO1400	RSK60_02678
YPO0311	RSK60_02573
YPO0550	RSK60_02408
YPO0792	RSK60_00297
YPO0551	RSK60_02409
YPO3939	RSK60_03789
YPO0549	RSK60_02407
YPO3937	RSK60_02189
YPO1636	RSK60_02541
YPO2846	RSK60_00070
YPO2604	RSK60_01657
YPO2844	RSK60_01690
YPO0425	RSK60_03229
YPO2601	RSK60_01416
YPO0783	RSK60_00758
YPO2960	RSK60_04653
YPO1508	RSK60_00425
YPO1508	RSK60_05093
YPO3807	RSK60_02780
YPO3806	RSK60_02781
YPO3805	RSK60_02782
YPO2837	RSK60_03308
YPO3804	RSK60_02783
YPO3804	RSK60_03635
YPO1867	RSK60_00648
YPO2957	RSK60_00786
YPO3924	RSK60_02864
YPO0658	RSK60_04683
YPO1502	RSK60_01074
YPO0532	RSK60_03190
YPO0533	RSK60_03106
YPO1501	RSK60_01075
YPO2710	RSK60_02773
YPO0654	RSK60_00790
YPO0530	RSK60_03189
YPO0531	RSK60_03188
YPO2829	RSK60_02766
YPO2828	RSK60_02636
YPO2827	RSK60_03008
YPO1617	RSK60_02965
YPO0888	RSK60_00692
YPO2824	RSK60_03449
YPO1615	RSK60_00652
YPO1851	RSK60_01877
YPO0520	RSK60_04653
YPO3909	RSK60_03220
YPO3907	RSK60_00425
YPO3907	RSK60_05093
YPO1605	RSK60_00126
