YPO1049	RSBA7_01368
YPO1068	RSBA7_02510
YPO3123	RSBA7_00417
YPO3365	RSBA7_02199
YPO3244	RSBA7_00547
YPO3364	RSBA7_04777
YPO3361	RSBA7_01591
YPO3360	RSBA7_01590
YPO1060	RSBA7_01126
YPO3118	RSBA7_02298
YPO3117	RSBA7_02354
YPO3358	RSBA7_01169
YPO2147	RSBA7_00905
YPO1056	RSBA7_01376
YPO1057	RSBA7_01377
YPO1054	RSBA7_01374
YPO1055	RSBA7_01375
YPO1176	RSBA7_01632
YPO2021	RSBA7_01084
YPO0085	RSBA7_01909
YPO2383	RSBA7_02603
YPO2381	RSBA7_00527
YPO1290	RSBA7_03729
YPO1290	RSBA7_00033
YPO1290	RSBA7_00761
YPO1290	RSBA7_04924
YPO1601	RSBA7_01026
YPO1962	RSBA7_02214
YPO1600	RSBA7_01025
YPO2930	RSBA7_01038
YPO2921	RSBA7_01561
YPO2912	RSBA7_02126
YPO2907	RSBA7_00782
YPO0958	RSBA7_04940
YPO0958	RSBA7_01211
YPO4078	RSBA7_03849
YPO4078	RSBA7_01006
YPO4072	RSBA7_00533
YPO4071	RSBA7_00531
YPO1916	RSBA7_03736
YPO0945	RSBA7_01981
YPO1913	RSBA7_03745
YPO0946	RSBA7_01982
YPO1914	RSBA7_03746
YPO0942	RSBA7_02394
YPO3094	RSBA7_03419
YPO4061	RSBA7_02291
YPO0935	RSBA7_00345
YPO0931	RSBA7_00132
YPO3080	RSBA7_01566
YPO0926	RSBA7_02458
YPO0921	RSBA7_00614
YPO3076	RSBA7_00618
YPO3075	RSBA7_01120
YPO3073	RSBA7_01124
YPO3070	RSBA7_02945
YPO0918	RSBA7_04485
YPO0915	RSBA7_01198
YPO3868	RSBA7_01152
YPO0117	RSBA7_00100
YPO2899	RSBA7_01117
YPO2777	RSBA7_03836
YPO2777	RSBA7_02076
YPO2777	RSBA7_00489
YPO2777	RSBA7_03106
YPO0477	RSBA7_02221
YPO3623	RSBA7_01305
YPO3864	RSBA7_04335
YPO3864	RSBA7_03758
YPO3501	RSBA7_01741
YPO2533	RSBA7_04882
YPO2896	RSBA7_00992
YPO0475	RSBA7_02237
YPO3500	RSBA7_01740
YPO3742	RSBA7_00110
YPO3863	RSBA7_03759
YPO3862	RSBA7_00730
YPO3741	RSBA7_00351
YPO2773	RSBA7_02604
YPO1441	RSBA7_02004
YPO3861	RSBA7_00732
YPO0474	RSBA7_02236
YPO2772	RSBA7_01817
YPO3740	RSBA7_00109
YPO2409	RSBA7_01381
YPO3739	RSBA7_00113
YPO3859	RSBA7_03769
YPO2769	RSBA7_01820
YPO2768	RSBA7_01821
YPO3734	RSBA7_02995
YPO3854	RSBA7_03784
YPO1435	RSBA7_00879
YPO2883	RSBA7_01176
YPO0463	RSBA7_01197
YPO3729	RSBA7_02010
YPO3728	RSBA7_00511
YPO3849	RSBA7_02137
YPO1548	RSBA7_02712
YPO3726	RSBA7_01326
YPO1546	RSBA7_02710
YPO3725	RSBA7_01320
YPO2878	RSBA7_01181
YPO2757	RSBA7_04708
YPO2514	RSBA7_03836
YPO2514	RSBA7_02076
YPO2514	RSBA7_00489
YPO2514	RSBA7_03106
YPO3845	RSBA7_00135
YPO2513	RSBA7_03107
YPO3964	RSBA7_04940
YPO3964	RSBA7_01211
YPO0577	RSBA7_03949
YPO3722	RSBA7_00253
YPO2995	RSBA7_03672
YPO2995	RSBA7_02556
YPO1542	RSBA7_02705
YPO1300	RSBA7_02558
YPO1543	RSBA7_02706
YPO2993	RSBA7_03672
YPO2993	RSBA7_02556
YPO1540	RSBA7_02058
YPO1540	RSBA7_03135
YPO2751	RSBA7_01677
YPO2630	RSBA7_00840
YPO1661	RSBA7_03824
YPO2871	RSBA7_01389
YPO2870	RSBA7_01391
YPO1539	RSBA7_02058
YPO1539	RSBA7_03135
YPO3718	RSBA7_01564
YPO3837	RSBA7_02470
YPO1414	RSBA7_01965
YPO1415	RSBA7_01621
YPO3712	RSBA7_01236
YPO3954	RSBA7_04536
YPO0565	RSBA7_02511
YPO3953	RSBA7_00445
YPO1413	RSBA7_01003
YPO1410	RSBA7_00983
YPO0321	RSBA7_01333
YPO2984	RSBA7_01137
YPO0442	RSBA7_01594
YPO1773	RSBA7_02345
YPO0322	RSBA7_00983
YPO1771	RSBA7_02976
YPO0561	RSBA7_02532
YPO2982	RSBA7_04324
YPO1650	RSBA7_00946
YPO3949	RSBA7_01828
YPO2859	RSBA7_00106
YPO2615	RSBA7_02079
YPO2615	RSBA7_00486
YPO0556	RSBA7_02538
YPO2977	RSBA7_04879
YPO2614	RSBA7_00487
YPO0557	RSBA7_02537
YPO2613	RSBA7_00488
YPO2612	RSBA7_03836
YPO2612	RSBA7_02076
YPO2612	RSBA7_00489
YPO2612	RSBA7_03106
YPO1522	RSBA7_02163
YPO0313	RSBA7_01929
YPO3942	RSBA7_03257
YPO0555	RSBA7_02539
YPO0552	RSBA7_02542
YPO1641	RSBA7_02250
YPO2610	RSBA7_02452
YPO3941	RSBA7_03256
YPO1400	RSBA7_02297
YPO0311	RSBA7_02396
YPO0550	RSBA7_02544
YPO0792	RSBA7_01332
YPO0551	RSBA7_02543
YPO3939	RSBA7_03261
YPO0549	RSBA7_02545
YPO3937	RSBA7_02812
YPO1636	RSBA7_02428
YPO2846	RSBA7_01551
YPO2604	RSBA7_00067
YPO2844	RSBA7_00034
YPO0425	RSBA7_01788
YPO2601	RSBA7_00289
YPO0783	RSBA7_00936
YPO2960	RSBA7_04504
YPO1508	RSBA7_04940
YPO1508	RSBA7_01211
YPO3807	RSBA7_02219
YPO3806	RSBA7_02218
YPO3805	RSBA7_02217
YPO2837	RSBA7_01731
YPO3804	RSBA7_03146
YPO3804	RSBA7_02216
YPO1867	RSBA7_01044
YPO2957	RSBA7_00897
YPO3924	RSBA7_02144
YPO0658	RSBA7_04538
YPO1502	RSBA7_00651
YPO0532	RSBA7_01830
YPO0533	RSBA7_01916
YPO1501	RSBA7_00650
YPO2710	RSBA7_02226
YPO0654	RSBA7_00893
YPO0530	RSBA7_01831
YPO0531	RSBA7_01832
YPO2829	RSBA7_02233
YPO2828	RSBA7_02335
YPO2827	RSBA7_02007
YPO1617	RSBA7_02050
YPO0888	RSBA7_01000
YPO2824	RSBA7_01645
YPO1615	RSBA7_01040
YPO1851	RSBA7_02993
YPO0520	RSBA7_04504
YPO3909	RSBA7_01800
YPO3907	RSBA7_04940
YPO3907	RSBA7_01211
YPO1605	RSBA7_01501
