YPO1049	RSCFB2957_01377
YPO1056	RSCFB2957_01385
YPO1057	RSCFB2957_01386
YPO1054	RSCFB2957_01383
YPO1055	RSCFB2957_01384
YPO1176	RSCFB2957_01690
YPO2021	RSCFB2957_01094
YPO0085	RSCFB2957_01973
YPO2383	RSCFB2957_02705
YPO2381	RSCFB2957_00482
YPO1290	RSCFB2957_04882
YPO1290	RSCFB2957_00708
YPO1290	RSCFB2957_04292
YPO1290	RSCFB2957_00033
YPO1601	RSCFB2957_00979
YPO1962	RSCFB2957_02288
YPO1600	RSCFB2957_00978
YPO2930	RSCFB2957_00991
YPO2921	RSCFB2957_01622
YPO2912	RSCFB2957_02194
YPO2907	RSCFB2957_00729
YPO0958	RSCFB2957_04905
YPO0958	RSCFB2957_01221
YPO4078	RSCFB2957_00959
YPO4078	RSCFB2957_04181
YPO4072	RSCFB2957_00488
YPO4071	RSCFB2957_00486
YPO1916	RSCFB2957_04285
YPO0945	RSCFB2957_02043
YPO1913	RSCFB2957_04276
YPO0946	RSCFB2957_02044
YPO1914	RSCFB2957_04275
YPO0942	RSCFB2957_02498
YPO3094	RSCFB2957_04760
YPO4061	RSCFB2957_02393
YPO0935	RSCFB2957_00301
YPO0931	RSCFB2957_00130
YPO3080	RSCFB2957_01627
YPO0926	RSCFB2957_02560
YPO0921	RSCFB2957_00537
YPO3076	RSCFB2957_00541
YPO3075	RSCFB2957_01130
YPO3073	RSCFB2957_01134
YPO3070	RSCFB2957_03035
YPO0918	RSCFB2957_04411
YPO0915	RSCFB2957_01208
YPO3868	RSCFB2957_01162
YPO0117	RSCFB2957_00098
YPO2899	RSCFB2957_01127
YPO2777	RSCFB2957_03185
YPO2777	RSCFB2957_04194
YPO2777	RSCFB2957_00444
YPO2777	RSCFB2957_02156
YPO0477	RSCFB2957_02295
YPO3623	RSCFB2957_01316
YPO3864	RSCFB2957_03695
YPO3864	RSCFB2957_04263
YPO3501	RSCFB2957_01796
YPO2533	RSCFB2957_04841
YPO2896	RSCFB2957_00945
YPO0475	RSCFB2957_02311
YPO3500	RSCFB2957_01795
YPO3742	RSCFB2957_00108
YPO3863	RSCFB2957_04262
YPO3862	RSCFB2957_00681
YPO3741	RSCFB2957_00307
YPO2773	RSCFB2957_02706
YPO1441	RSCFB2957_02084
YPO3861	RSCFB2957_00683
YPO0474	RSCFB2957_02310
YPO2772	RSCFB2957_01886
YPO3740	RSCFB2957_00107
YPO2409	RSCFB2957_01390
YPO3739	RSCFB2957_00111
YPO3859	RSCFB2957_04252
YPO2769	RSCFB2957_01889
YPO2768	RSCFB2957_01890
YPO3734	RSCFB2957_03077
YPO3854	RSCFB2957_04237
YPO1435	RSCFB2957_00830
YPO2883	RSCFB2957_01186
YPO0463	RSCFB2957_01207
YPO3729	RSCFB2957_02090
YPO3728	RSCFB2957_00466
YPO3849	RSCFB2957_02205
YPO1548	RSCFB2957_02759
YPO3726	RSCFB2957_01335
YPO1546	RSCFB2957_02757
YPO3725	RSCFB2957_01331
YPO2878	RSCFB2957_01191
YPO2757	RSCFB2957_03565
YPO2514	RSCFB2957_03185
YPO2514	RSCFB2957_04194
YPO2514	RSCFB2957_00444
YPO2514	RSCFB2957_02156
YPO3845	RSCFB2957_00133
YPO2513	RSCFB2957_03186
YPO3964	RSCFB2957_04905
YPO3964	RSCFB2957_01221
YPO0577	RSCFB2957_04087
YPO3722	RSCFB2957_00248
YPO2995	RSCFB2957_04350
YPO2995	RSCFB2957_02658
YPO1542	RSCFB2957_02752
YPO1300	RSCFB2957_02660
YPO1543	RSCFB2957_02753
YPO2993	RSCFB2957_04350
YPO2993	RSCFB2957_02658
YPO1540	RSCFB2957_03231
YPO1540	RSCFB2957_02138
YPO2751	RSCFB2957_01743
YPO2630	RSCFB2957_00785
YPO1661	RSCFB2957_04199
YPO2871	RSCFB2957_01398
YPO2870	RSCFB2957_01400
YPO1539	RSCFB2957_03231
YPO1539	RSCFB2957_02138
YPO3718	RSCFB2957_01625
YPO3837	RSCFB2957_02572
YPO1414	RSCFB2957_02027
YPO1415	RSCFB2957_01679
YPO3712	RSCFB2957_01246
YPO3954	RSCFB2957_04463
YPO0565	RSCFB2957_02613
YPO3953	RSCFB2957_00401
YPO1413	RSCFB2957_00956
YPO1410	RSCFB2957_00936
YPO0321	RSCFB2957_01342
YPO2984	RSCFB2957_01147
YPO0442	RSCFB2957_01655
YPO1773	RSCFB2957_02449
YPO0322	RSCFB2957_00936
YPO1771	RSCFB2957_03063
YPO0561	RSCFB2957_02634
YPO2982	RSCFB2957_03705
YPO1650	RSCFB2957_00898
YPO3949	RSCFB2957_01897
YPO2859	RSCFB2957_00104
YPO2615	RSCFB2957_00441
YPO2615	RSCFB2957_02157
YPO0556	RSCFB2957_02640
YPO2977	RSCFB2957_04838
YPO2614	RSCFB2957_00442
YPO0557	RSCFB2957_02639
YPO2613	RSCFB2957_00443
YPO2612	RSCFB2957_03185
YPO2612	RSCFB2957_04194
YPO2612	RSCFB2957_00444
YPO2612	RSCFB2957_02156
YPO1522	RSCFB2957_02239
YPO0313	RSCFB2957_01993
YPO3942	RSCFB2957_03435
YPO0555	RSCFB2957_02641
YPO0552	RSCFB2957_02644
YPO1641	RSCFB2957_02352
YPO2610	RSCFB2957_02554
YPO3941	RSCFB2957_03434
YPO1400	RSCFB2957_02400
YPO0311	RSCFB2957_02500
YPO0550	RSCFB2957_02646
YPO0792	RSCFB2957_01341
YPO0551	RSCFB2957_02645
YPO3939	RSCFB2957_03439
YPO0549	RSCFB2957_02647
YPO3937	RSCFB2957_02859
YPO1636	RSCFB2957_02530
YPO2846	RSCFB2957_01559
YPO2604	RSCFB2957_00067
YPO2844	RSCFB2957_00034
YPO0425	RSCFB2957_01858
YPO2601	RSCFB2957_00283
YPO0783	RSCFB2957_00888
YPO2960	RSCFB2957_04429
YPO1508	RSCFB2957_04905
YPO1508	RSCFB2957_01221
YPO3807	RSCFB2957_02293
YPO3806	RSCFB2957_02292
YPO3805	RSCFB2957_02291
YPO2837	RSCFB2957_01786
YPO3804	RSCFB2957_03242
YPO3804	RSCFB2957_02290
YPO1867	RSCFB2957_00997
YPO2957	RSCFB2957_00848
YPO3924	RSCFB2957_02212
YPO0658	RSCFB2957_04465
YPO1502	RSCFB2957_00574
YPO0532	RSCFB2957_01899
YPO0533	RSCFB2957_01980
YPO1501	RSCFB2957_00573
YPO2710	RSCFB2957_02300
YPO0654	RSCFB2957_00844
YPO0530	RSCFB2957_01900
YPO0531	RSCFB2957_01901
YPO2829	RSCFB2957_02307
YPO2828	RSCFB2957_02439
YPO2827	RSCFB2957_02087
YPO1617	RSCFB2957_02130
YPO0888	RSCFB2957_00953
YPO2824	RSCFB2957_01703
YPO1615	RSCFB2957_00993
YPO1851	RSCFB2957_03075
YPO0520	RSCFB2957_04429
YPO3909	RSCFB2957_01869
YPO3907	RSCFB2957_04905
YPO3907	RSCFB2957_01221
YPO1605	RSCFB2957_01517
