YPO1049	RSGMI1000_01442
YPO3771	RSGMI1000_03046
YPO1108	RSGMI1000_02039
YPO3407	RSGMI1000_00282
YPO3769	RSGMI1000_00731
YPO3767	RSGMI1000_02299
YPO3525	RSGMI1000_00789
YPO0378	RSGMI1000_01256
YPO3403	RSGMI1000_02782
YPO3402	RSGMI1000_02437
YPO3401	RSGMI1000_02680
YPO2554	RSGMI1000_02106
YPO2433	RSGMI1000_01620
YPO1587	RSGMI1000_00498
YPO0253	RSGMI1000_02000
YPO3400	RSGMI1000_02678
YPO3521	RSGMI1000_02399
YPO3520	RSGMI1000_02171
YPO0493	RSGMI1000_00529
YPO2551	RSGMI1000_02102
YPO3760	RSGMI1000_02601
YPO0490	RSGMI1000_00703
YPO3519	RSGMI1000_02834
YPO0008	RSGMI1000_01031
YPO2429	RSGMI1000_01624
YPO2549	RSGMI1000_02100
YPO2428	RSGMI1000_01625
YPO0006	RSGMI1000_01667
YPO0006	RSGMI1000_04513
YPO2548	RSGMI1000_02099
YPO3999	RSGMI1000_02916
YPO3999	RSGMI1000_01939
YPO0246	RSGMI1000_02829
YPO2425	RSGMI1000_02450
YPO2303	RSGMI1000_04406
YPO2303	RSGMI1000_02781
YPO1215	RSGMI1000_00918
YPO2545	RSGMI1000_02096
YPO3513	RSGMI1000_02873
YPO2302	RSGMI1000_04408
YPO2302	RSGMI1000_02784
YPO2302	RSGMI1000_04411
YPO0486	RSGMI1000_00966
YPO2422	RSGMI1000_01354
YPO2421	RSGMI1000_01353
YPO1332	RSGMI1000_01785
YPO2420	RSGMI1000_01351
YPO3992	RSGMI1000_00335
YPO0482	RSGMI1000_01559
YPO0241	RSGMI1000_00074
YPO0480	RSGMI1000_02797
YPO0481	RSGMI1000_01557
YPO1570	RSGMI1000_02604
YPO1207	RSGMI1000_05034
YPO2539	RSGMI1000_04404
YPO3627	RSGMI1000_01373
YPO4039	RSGMI1000_02174
YPO4037	RSGMI1000_05081
YPO4036	RSGMI1000_01273
YPO4036	RSGMI1000_05082
YPO4036	RSGMI1000_02809
YPO4035	RSGMI1000_05083
YPO3183	RSGMI1000_00738
YPO3062	RSGMI1000_01168
YPO3182	RSGMI1000_00735
YPO3180	RSGMI1000_02820
YPO0907	RSGMI1000_03353
YPO0905	RSGMI1000_03355
YPO0906	RSGMI1000_03354
YPO3179	RSGMI1000_02821
YPO3177	RSGMI1000_02268
YPO3176	RSGMI1000_02269
YPO3053	RSGMI1000_01422
YPO3167	RSGMI1000_02968
YPO3166	RSGMI1000_02969
YPO3166	RSGMI1000_01910
YPO3286	RSGMI1000_00767
YPO3286	RSGMI1000_02709
YPO3165	RSGMI1000_01909
YPO3165	RSGMI1000_02970
YPO3164	RSGMI1000_01908
YPO3164	RSGMI1000_02971
YPO2074	RSGMI1000_00550
YPO2074	RSGMI1000_02908
YPO3162	RSGMI1000_00157
YPO4127	RSGMI1000_03383
YPO4126	RSGMI1000_03382
YPO4125	RSGMI1000_03381
YPO2067	RSGMI1000_04650
YPO3034	RSGMI1000_02819
YPO3034	RSGMI1000_02168
YPO2066	RSGMI1000_05012
YPO4123	RSGMI1000_03379
YPO4001	RSGMI1000_01414
YPO4122	RSGMI1000_03378
YPO4000	RSGMI1000_02917
YPO4000	RSGMI1000_01938
YPO4121	RSGMI1000_03377
YPO3032	RSGMI1000_02238
YPO4120	RSGMI1000_04270
YPO4120	RSGMI1000_03376
YPO4119	RSGMI1000_00180
YPO4118	RSGMI1000_00181
YPO4117	RSGMI1000_01567
YPO4116	RSGMI1000_01568
YPO3389	RSGMI1000_00688
YPO4115	RSGMI1000_01569
YPO4114	RSGMI1000_01570
YPO2054	RSGMI1000_00477
YPO3142	RSGMI1000_00348
YPO2053	RSGMI1000_00475
YPO2174	RSGMI1000_00933
YPO2293	RSGMI1000_02122
YPO3380	RSGMI1000_01618
YPO1199	RSGMI1000_02567
YPO3015	RSGMI1000_01368
YPO3377	RSGMI1000_01149
YPO3014	RSGMI1000_01377
YPO2167	RSGMI1000_02882
YPO2288	RSGMI1000_03691
YPO3376	RSGMI1000_01152
YPO3013	RSGMI1000_01378
YPO3012	RSGMI1000_01379
YPO3132	RSGMI1000_00012
YPO3132	RSGMI1000_04279
YPO3011	RSGMI1000_00937
YPO1075	RSGMI1000_01177
YPO1072	RSGMI1000_00941
YPO1073	RSGMI1000_00940
YPO2160	RSGMI1000_01810
YPO2158	RSGMI1000_01798
YPO2157	RSGMI1000_02801
YPO3366	RSGMI1000_02473
YPO1068	RSGMI1000_02866
YPO3123	RSGMI1000_00424
YPO3365	RSGMI1000_02472
YPO3244	RSGMI1000_00554
YPO3364	RSGMI1000_03231
YPO3364	RSGMI1000_03641
YPO3361	RSGMI1000_01689
YPO3360	RSGMI1000_01690
YPO1060	RSGMI1000_01192
YPO2390	RSGMI1000_04902
YPO3118	RSGMI1000_02584
YPO3117	RSGMI1000_02692
YPO3358	RSGMI1000_01234
YPO2147	RSGMI1000_00946
YPO1056	RSGMI1000_01450
YPO1057	RSGMI1000_01451
YPO1054	RSGMI1000_01448
YPO1055	RSGMI1000_01449
YPO1176	RSGMI1000_01653
YPO2021	RSGMI1000_01150
YPO0085	RSGMI1000_02110
YPO2383	RSGMI1000_02958
YPO2381	RSGMI1000_00532
YPO1290	RSGMI1000_00030
YPO1290	RSGMI1000_05060
YPO1601	RSGMI1000_01071
YPO1962	RSGMI1000_02487
YPO1600	RSGMI1000_01070
YPO2930	RSGMI1000_01083
YPO2921	RSGMI1000_01775
YPO2912	RSGMI1000_02396
YPO2907	RSGMI1000_00752
YPO0958	RSGMI1000_01273
YPO0958	RSGMI1000_05082
YPO0958	RSGMI1000_02809
YPO0832	RSGMI1000_02189
YPO4078	RSGMI1000_01051
YPO4078	RSGMI1000_04402
YPO4072	RSGMI1000_00538
YPO4071	RSGMI1000_00536
YPO0945	RSGMI1000_02205
YPO1913	RSGMI1000_01859
YPO0946	RSGMI1000_02206
YPO0942	RSGMI1000_02733
YPO3094	RSGMI1000_04952
YPO4061	RSGMI1000_02577
YPO0935	RSGMI1000_00350
YPO0931	RSGMI1000_00135
YPO3080	RSGMI1000_01770
YPO0926	RSGMI1000_02802
YPO0921	RSGMI1000_00589
YPO3076	RSGMI1000_00593
YPO3075	RSGMI1000_01186
YPO3073	RSGMI1000_01190
YPO3070	RSGMI1000_03330
YPO0918	RSGMI1000_00391
YPO0915	RSGMI1000_01263
YPO3868	RSGMI1000_01219
YPO3626	RSGMI1000_01372
YPO0117	RSGMI1000_00094
YPO2899	RSGMI1000_01183
YPO3625	RSGMI1000_01371
YPO2777	RSGMI1000_03470
YPO2777	RSGMI1000_02151
YPO2777	RSGMI1000_02307
YPO2777	RSGMI1000_00493
YPO2777	RSGMI1000_04389
YPO0477	RSGMI1000_02494
YPO3624	RSGMI1000_01370
YPO3623	RSGMI1000_01369
YPO3864	RSGMI1000_04476
YPO3864	RSGMI1000_03982
YPO3501	RSGMI1000_01565
YPO2533	RSGMI1000_05013
YPO2896	RSGMI1000_01037
YPO0475	RSGMI1000_02510
YPO3500	RSGMI1000_01566
YPO3742	RSGMI1000_00110
YPO3863	RSGMI1000_04475
YPO3862	RSGMI1000_00704
YPO3741	RSGMI1000_00356
YPO2773	RSGMI1000_02959
YPO1441	RSGMI1000_02231
YPO3861	RSGMI1000_00706
YPO0474	RSGMI1000_02509
YPO2772	RSGMI1000_02023
YPO3740	RSGMI1000_00109
YPO2409	RSGMI1000_01455
YPO3739	RSGMI1000_00114
YPO3859	RSGMI1000_04465
YPO2769	RSGMI1000_02026
YPO2768	RSGMI1000_02027
YPO2647	RSGMI1000_03557
YPO2646	RSGMI1000_03558
YPO3734	RSGMI1000_03363
YPO1435	RSGMI1000_00920
YPO2883	RSGMI1000_01241
YPO0463	RSGMI1000_01262
YPO3729	RSGMI1000_02237
YPO3728	RSGMI1000_00515
YPO3849	RSGMI1000_02407
YPO1548	RSGMI1000_03008
YPO3726	RSGMI1000_01395
YPO1546	RSGMI1000_03006
YPO3725	RSGMI1000_01390
YPO2878	RSGMI1000_01246
YPO2757	RSGMI1000_03829
YPO2514	RSGMI1000_03470
YPO2514	RSGMI1000_02151
YPO2514	RSGMI1000_02307
YPO2514	RSGMI1000_00493
YPO2514	RSGMI1000_04389
YPO3845	RSGMI1000_00138
YPO2513	RSGMI1000_03471
YPO3964	RSGMI1000_01273
YPO3964	RSGMI1000_05082
YPO3964	RSGMI1000_02809
YPO0577	RSGMI1000_04294
YPO0577	RSGMI1000_01100
YPO3722	RSGMI1000_00299
YPO2995	RSGMI1000_02912
YPO2995	RSGMI1000_04745
YPO1542	RSGMI1000_03001
YPO1300	RSGMI1000_02914
YPO1543	RSGMI1000_03002
YPO2993	RSGMI1000_02912
YPO2993	RSGMI1000_04745
YPO1540	RSGMI1000_02284
YPO1540	RSGMI1000_03499
YPO2751	RSGMI1000_01609
YPO2630	RSGMI1000_00815
YPO2871	RSGMI1000_01463
YPO2870	RSGMI1000_01465
YPO1539	RSGMI1000_02284
YPO1539	RSGMI1000_03499
YPO3718	RSGMI1000_02181
YPO3718	RSGMI1000_01772
YPO3837	RSGMI1000_02826
YPO1414	RSGMI1000_02170
YPO1415	RSGMI1000_01665
YPO3712	RSGMI1000_02184
YPO3712	RSGMI1000_01298
YPO3954	RSGMI1000_04649
YPO0565	RSGMI1000_02867
YPO3953	RSGMI1000_00450
YPO1413	RSGMI1000_01048
YPO1410	RSGMI1000_01028
YPO0321	RSGMI1000_01403
YPO2984	RSGMI1000_01203
YPO0442	RSGMI1000_01686
YPO1773	RSGMI1000_02683
YPO0322	RSGMI1000_01028
YPO1771	RSGMI1000_01119
YPO1771	RSGMI1000_03536
YPO1771	RSGMI1000_03356
YPO0561	RSGMI1000_02888
YPO2982	RSGMI1000_03993
YPO1650	RSGMI1000_00990
YPO3949	RSGMI1000_02034
YPO2859	RSGMI1000_00102
YPO2615	RSGMI1000_00490
YPO2615	RSGMI1000_02308
YPO0556	RSGMI1000_02894
YPO2977	RSGMI1000_05010
YPO2614	RSGMI1000_00491
YPO0557	RSGMI1000_02893
YPO2613	RSGMI1000_00492
YPO2612	RSGMI1000_03470
YPO2612	RSGMI1000_02151
YPO2612	RSGMI1000_02307
YPO2612	RSGMI1000_00493
YPO2612	RSGMI1000_04389
YPO1522	RSGMI1000_02431
YPO0313	RSGMI1000_02130
YPO3942	RSGMI1000_03716
YPO0555	RSGMI1000_02895
YPO0676	RSGMI1000_01538
YPO0552	RSGMI1000_02898
YPO1641	RSGMI1000_02541
YPO2610	RSGMI1000_02796
YPO3941	RSGMI1000_03715
YPO1400	RSGMI1000_02583
YPO0311	RSGMI1000_02735
YPO0550	RSGMI1000_02900
YPO0792	RSGMI1000_01402
YPO0551	RSGMI1000_02899
YPO0670	RSGMI1000_02378
YPO3939	RSGMI1000_03719
YPO0549	RSGMI1000_02901
YPO3937	RSGMI1000_03109
YPO1636	RSGMI1000_02771
YPO2846	RSGMI1000_01785
YPO2604	RSGMI1000_00064
YPO2844	RSGMI1000_00031
YPO0425	RSGMI1000_01947
YPO2601	RSGMI1000_00332
YPO0783	RSGMI1000_00967
YPO2960	RSGMI1000_04604
YPO1508	RSGMI1000_01273
YPO1508	RSGMI1000_05082
YPO1508	RSGMI1000_02809
YPO3807	RSGMI1000_02492
YPO3806	RSGMI1000_02491
YPO3805	RSGMI1000_02490
YPO2837	RSGMI1000_01575
YPO3804	RSGMI1000_02489
YPO3804	RSGMI1000_03510
YPO1867	RSGMI1000_01089
YPO2957	RSGMI1000_00938
YPO3924	RSGMI1000_02413
YPO0658	RSGMI1000_04651
YPO1502	RSGMI1000_00625
YPO1502	RSGMI1000_03560
YPO0532	RSGMI1000_02036
YPO0533	RSGMI1000_02117
YPO1501	RSGMI1000_00624
YPO2710	RSGMI1000_02499
YPO0654	RSGMI1000_00934
YPO0530	RSGMI1000_02037
YPO0531	RSGMI1000_02038
YPO2829	RSGMI1000_02506
YPO2828	RSGMI1000_02673
YPO2827	RSGMI1000_02234
YPO1617	RSGMI1000_02276
YPO0888	RSGMI1000_01045
YPO2824	RSGMI1000_01641
YPO1615	RSGMI1000_01085
YPO1851	RSGMI1000_03361
YPO0520	RSGMI1000_04604
YPO3909	RSGMI1000_02004
YPO3907	RSGMI1000_01273
YPO3907	RSGMI1000_05082
YPO3907	RSGMI1000_02809
YPO1605	RSGMI1000_01834
