YPO1049	RSPSI07_01865
YPO3142	RSPSI07_02951
YPO2053	RSPSI07_02803
YPO2174	RSPSI07_02383
YPO2293	RSPSI07_01287
YPO3380	RSPSI07_01581
YPO1199	RSPSI07_00895
YPO3015	RSPSI07_01938
YPO3377	RSPSI07_02163
YPO3014	RSPSI07_01929
YPO2167	RSPSI07_00640
YPO2288	RSPSI07_03400
YPO3376	RSPSI07_02160
YPO3013	RSPSI07_01928
YPO3012	RSPSI07_01927
YPO3132	RSPSI07_03239
YPO3132	RSPSI07_03947
YPO3011	RSPSI07_02379
YPO1072	RSPSI07_02375
YPO1073	RSPSI07_02376
YPO2160	RSPSI07_01717
YPO2158	RSPSI07_01704
YPO2157	RSPSI07_00720
YPO3366	RSPSI07_00993
YPO1068	RSPSI07_00656
YPO3123	RSPSI07_02876
YPO3365	RSPSI07_00994
YPO3244	RSPSI07_02723
YPO3364	RSPSI07_04480
YPO3364	RSPSI07_03358
YPO3361	RSPSI07_01655
YPO3360	RSPSI07_01656
YPO1060	RSPSI07_02122
YPO2390	RSPSI07_04553
YPO3118	RSPSI07_00877
YPO3117	RSPSI07_00822
YPO3358	RSPSI07_02080
YPO2147	RSPSI07_02370
YPO1056	RSPSI07_01857
YPO1057	RSPSI07_01856
YPO1054	RSPSI07_01859
YPO1055	RSPSI07_01858
YPO1176	RSPSI07_01618
YPO2021	RSPSI07_02162
YPO0085	RSPSI07_01301
YPO2383	RSPSI07_00561
YPO2381	RSPSI07_02745
YPO1290	RSPSI07_04190
YPO1290	RSPSI07_04801
YPO1290	RSPSI07_03221
YPO1290	RSPSI07_02542
YPO1601	RSPSI07_02254
YPO1962	RSPSI07_00979
YPO1600	RSPSI07_02255
YPO2930	RSPSI07_02242
YPO2921	RSPSI07_01684
YPO2912	RSPSI07_01068
YPO2907	RSPSI07_02521
YPO0958	RSPSI07_04821
YPO0958	RSPSI07_00712
YPO0958	RSPSI07_02031
YPO4078	RSPSI07_03831
YPO4078	RSPSI07_02274
YPO4072	RSPSI07_02739
YPO4071	RSPSI07_02741
YPO0945	RSPSI07_01205
YPO1913	RSPSI07_01779
YPO1913	RSPSI07_02330
YPO0946	RSPSI07_01204
YPO0942	RSPSI07_00778
YPO3099	RSPSI07_02414
YPO3094	RSPSI07_04614
YPO4061	RSPSI07_00884
YPO0935	RSPSI07_02949
YPO0931	RSPSI07_03122
YPO3080	RSPSI07_01679
YPO0926	RSPSI07_00719
YPO0921	RSPSI07_02686
YPO3076	RSPSI07_02682
YPO3075	RSPSI07_02128
YPO3073	RSPSI07_02124
YPO3070	RSPSI07_00165
YPO0918	RSPSI07_04048
YPO0918	RSPSI07_02909
YPO0915	RSPSI07_02051
YPO3868	RSPSI07_02096
YPO3626	RSPSI07_01934
YPO0117	RSPSI07_03158
YPO2899	RSPSI07_02131
YPO3625	RSPSI07_01935
YPO1569	RSPSI07_01236
YPO2777	RSPSI07_03844
YPO2777	RSPSI07_01103
YPO2777	RSPSI07_01257
YPO2777	RSPSI07_00029
YPO2777	RSPSI07_02785
YPO0477	RSPSI07_00972
YPO3624	RSPSI07_01936
YPO3623	RSPSI07_01937
YPO3864	RSPSI07_03657
YPO3864	RSPSI07_04170
YPO3501	RSPSI07_01497
YPO2533	RSPSI07_04750
YPO2896	RSPSI07_02288
YPO0475	RSPSI07_00956
YPO3500	RSPSI07_01498
YPO3742	RSPSI07_03146
YPO3863	RSPSI07_04169
YPO3862	RSPSI07_02578
YPO3741	RSPSI07_02943
YPO2773	RSPSI07_00560
YPO1441	RSPSI07_01180
YPO3861	RSPSI07_02576
YPO0474	RSPSI07_00957
YPO2772	RSPSI07_01390
YPO3740	RSPSI07_03147
YPO2409	RSPSI07_01852
YPO3739	RSPSI07_03143
YPO3859	RSPSI07_04159
YPO2769	RSPSI07_01387
YPO2768	RSPSI07_01386
YPO3734	RSPSI07_00130
YPO1435	RSPSI07_02396
YPO2883	RSPSI07_02073
YPO0463	RSPSI07_02052
YPO3729	RSPSI07_01174
YPO3728	RSPSI07_02761
YPO3849	RSPSI07_01056
YPO1548	RSPSI07_00512
YPO3726	RSPSI07_01911
YPO1546	RSPSI07_00514
YPO3725	RSPSI07_01916
YPO2878	RSPSI07_02068
YPO2514	RSPSI07_03844
YPO2514	RSPSI07_01103
YPO2514	RSPSI07_01257
YPO2514	RSPSI07_00029
YPO2514	RSPSI07_02785
YPO3845	RSPSI07_03119
YPO2513	RSPSI07_00028
YPO2513	RSPSI07_01258
YPO3964	RSPSI07_04821
YPO3964	RSPSI07_00712
YPO3964	RSPSI07_02031
YPO0577	RSPSI07_02225
YPO0577	RSPSI07_03969
YPO3722	RSPSI07_03003
YPO2512	RSPSI07_01259
YPO2995	RSPSI07_00610
YPO2995	RSPSI07_04255
YPO1542	RSPSI07_00519
YPO1300	RSPSI07_00608
YPO1543	RSPSI07_00518
YPO2993	RSPSI07_00610
YPO2993	RSPSI07_04255
YPO1540	RSPSI07_01126
YPO1540	RSPSI07_03260
YPO2751	RSPSI07_01572
YPO2630	RSPSI07_02462
YPO2871	RSPSI07_01844
YPO2870	RSPSI07_01842
YPO1539	RSPSI07_01126
YPO1539	RSPSI07_03260
YPO3718	RSPSI07_01681
YPO3837	RSPSI07_00696
YPO1414	RSPSI07_01244
YPO1415	RSPSI07_01629
YPO3712	RSPSI07_02006
YPO3954	RSPSI07_04366
YPO0565	RSPSI07_00655
YPO3953	RSPSI07_02828
YPO1413	RSPSI07_02277
YPO1410	RSPSI07_02297
YPO0321	RSPSI07_01904
YPO2984	RSPSI07_02111
YPO0442	RSPSI07_01652
YPO1773	RSPSI07_00830
YPO3831	RSPSI07_02959
YPO0322	RSPSI07_02297
YPO1771	RSPSI07_00138
YPO0561	RSPSI07_00634
YPO2982	RSPSI07_03668
YPO1650	RSPSI07_02339
YPO3949	RSPSI07_01379
YPO2859	RSPSI07_03150
YPO2615	RSPSI07_02788
YPO2615	RSPSI07_01102
YPO0556	RSPSI07_00628
YPO2977	RSPSI07_04747
YPO2614	RSPSI07_02787
YPO0557	RSPSI07_00629
YPO2613	RSPSI07_02786
YPO2612	RSPSI07_03844
YPO2612	RSPSI07_01103
YPO2612	RSPSI07_01257
YPO2612	RSPSI07_00029
YPO2612	RSPSI07_02785
YPO1522	RSPSI07_01028
YPO0313	RSPSI07_01279
YPO3942	RSPSI07_03440
YPO0555	RSPSI07_00627
YPO0676	RSPSI07_04608
YPO0552	RSPSI07_00624
YPO1641	RSPSI07_00921
YPO2610	RSPSI07_00725
YPO3941	RSPSI07_03439
YPO1400	RSPSI07_00878
YPO0311	RSPSI07_00776
YPO0550	RSPSI07_00622
YPO0792	RSPSI07_01905
YPO0551	RSPSI07_00623
YPO3939	RSPSI07_03443
YPO0549	RSPSI07_00621
YPO3937	RSPSI07_00412
YPO1636	RSPSI07_00749
YPO2846	RSPSI07_01523
YPO2846	RSPSI07_01694
YPO2604	RSPSI07_03187
YPO2844	RSPSI07_03220
YPO0425	RSPSI07_01430
YPO2601	RSPSI07_02968
YPO1511	RSPSI07_01235
YPO0783	RSPSI07_02349
YPO2960	RSPSI07_04330
YPO1508	RSPSI07_04821
YPO1508	RSPSI07_00712
YPO1508	RSPSI07_02031
YPO3807	RSPSI07_00974
YPO3806	RSPSI07_00975
YPO3805	RSPSI07_00976
YPO2837	RSPSI07_01507
YPO3804	RSPSI07_00977
YPO3804	RSPSI07_03271
YPO1867	RSPSI07_02236
YPO2957	RSPSI07_02378
YPO3924	RSPSI07_01051
YPO0658	RSPSI07_04368
YPO1502	RSPSI07_02648
YPO0532	RSPSI07_01378
YPO0533	RSPSI07_01294
YPO1501	RSPSI07_02649
YPO2710	RSPSI07_00967
YPO0654	RSPSI07_02382
YPO0530	RSPSI07_01377
YPO0531	RSPSI07_01376
YPO2829	RSPSI07_00960
YPO2828	RSPSI07_00840
YPO2827	RSPSI07_01177
YPO1617	RSPSI07_01134
YPO0888	RSPSI07_02280
YPO2824	RSPSI07_01605
YPO1615	RSPSI07_02240
YPO1851	RSPSI07_00132
YPO0520	RSPSI07_04330
YPO3909	RSPSI07_01410
YPO3907	RSPSI07_04821
YPO3907	RSPSI07_00712
YPO3907	RSPSI07_02031
YPO1605	RSPSI07_01737
