YPO1601	XFCFBP8418_005890
YPO3519	XFCFBP8418_026060
YPO0921	XFCFBP8418_011060
YPO0008	XFCFBP8418_008660
YPO2429	XFCFBP8418_011760
YPO2549	XFCFBP8418_025660
YPO2428	XFCFBP8418_011750
YPO0006	XFCFBP8418_016360
YPO0006	XFCFBP8418_027690
YPO0006	XFCFBP8418_000330
YPO2548	XFCFBP8418_025650
YPO0246	XFCFBP8418_006320
YPO1215	XFCFBP8418_005180
YPO2545	XFCFBP8418_025620
YPO3513	XFCFBP8418_003680
YPO0486	XFCFBP8418_021150
YPO3632	XFCFBP8418_015020
YPO0364	XFCFBP8418_003930
YPO3992	XFCFBP8418_025480
YPO0482	XFCFBP8418_023960
YPO0241	XFCFBP8418_009950
YPO0481	XFCFBP8418_023970
YPO3076	XFCFBP8418_013040
YPO3075	XFCFBP8418_012350
YPO3073	XFCFBP8418_025320
YPO0914	XFCFBP8418_020190
YPO0915	XFCFBP8418_001410
YPO3868	XFCFBP8418_013260
YPO0117	XFCFBP8418_023810
YPO2899	XFCFBP8418_005240
YPO0477	XFCFBP8418_004660
YPO3501	XFCFBP8418_014930
YPO2533	XFCFBP8418_024710
YPO0475	XFCFBP8418_004680
YPO3500	XFCFBP8418_003010
YPO3742	XFCFBP8418_011380
YPO3862	XFCFBP8418_026250
YPO3741	XFCFBP8418_007180
YPO3861	XFCFBP8418_026240
YPO0474	XFCFBP8418_004690
YPO2772	XFCFBP8418_000770
YPO3183	XFCFBP8418_009790
YPO3062	XFCFBP8418_009670
YPO3182	XFCFBP8418_009760
YPO3180	XFCFBP8418_009740
YPO0907	XFCFBP8418_015770
YPO0905	XFCFBP8418_003740
YPO0906	XFCFBP8418_015760
YPO2409	XFCFBP8418_022440
YPO3739	XFCFBP8418_016510
YPO3739	XFCFBP8418_027850
YPO2769	XFCFBP8418_000740
YPO2768	XFCFBP8418_003020
YPO2889	XFCFBP8418_026020
YPO3734	XFCFBP8418_004180
YPO2883	XFCFBP8418_007250
YPO1430	XFCFBP8418_006750
YPO3177	XFCFBP8418_020600
YPO3176	XFCFBP8418_005980
YPO3053	XFCFBP8418_015120
YPO3729	XFCFBP8418_001040
YPO3728	XFCFBP8418_001030
YPO3849	XFCFBP8418_018480
YPO1548	XFCFBP8418_020320
YPO0459	XFCFBP8418_020380
YPO1549	XFCFBP8418_020330
YPO1546	XFCFBP8418_020300
YPO3845	XFCFBP8418_002870
YPO1547	XFCFBP8418_020310
YPO1544	XFCFBP8418_020280
YPO1545	XFCFBP8418_020290
YPO1542	XFCFBP8418_020260
YPO1543	XFCFBP8418_020270
YPO1540	XFCFBP8418_004800
YPO2751	XFCFBP8418_003900
YPO2630	XFCFBP8418_004140
YPO2871	XFCFBP8418_004780
YPO2870	XFCFBP8418_004770
YPO3167	XFCFBP8418_003720
YPO3166	XFCFBP8418_003710
YPO3286	XFCFBP8418_014390
YPO3165	XFCFBP8418_003700
YPO3164	XFCFBP8418_003690
YPO2074	XFCFBP8418_025950
YPO3162	XFCFBP8418_015550
YPO1539	XFCFBP8418_004800
YPO3718	XFCFBP8418_026530
YPO2626	XFCFBP8418_003030
YPO1415	XFCFBP8418_012210
YPO3712	XFCFBP8418_024670
YPO0565	XFCFBP8418_007820
YPO2623	XFCFBP8418_015130
YPO1412	XFCFBP8418_012160
YPO1413	XFCFBP8418_024030
YPO1410	XFCFBP8418_014480
YPO0321	XFCFBP8418_010700
YPO2984	XFCFBP8418_011070
YPO0322	XFCFBP8418_014480
YPO4127	XFCFBP8418_023580
YPO4126	XFCFBP8418_023590
YPO0561	XFCFBP8418_011190
YPO2982	XFCFBP8418_025100
YPO4125	XFCFBP8418_023600
YPO2067	XFCFBP8418_024720
YPO4124	XFCFBP8418_023610
YPO3034	XFCFBP8418_025470
YPO2066	XFCFBP8418_024680
YPO4123	XFCFBP8418_023620
YPO4122	XFCFBP8418_023630
YPO4121	XFCFBP8418_023640
YPO3032	XFCFBP8418_014340
YPO4120	XFCFBP8418_023650
YPO3393	XFCFBP8418_010420
YPO2859	XFCFBP8418_006340
YPO2736	XFCFBP8418_005070
YPO0556	XFCFBP8418_011250
YPO2977	XFCFBP8418_024690
YPO2735	XFCFBP8418_005060
YPO0557	XFCFBP8418_011240
YPO2734	XFCFBP8418_005050
YPO4119	XFCFBP8418_023670
YPO1522	XFCFBP8418_006950
YPO4118	XFCFBP8418_015350
YPO0313	XFCFBP8418_021180
YPO0555	XFCFBP8418_011260
YPO0552	XFCFBP8418_011280
YPO4117	XFCFBP8418_019420
YPO2610	XFCFBP8418_019710
YPO1400	XFCFBP8418_019240
YPO4116	XFCFBP8418_019430
YPO0311	XFCFBP8418_014680
YPO3389	XFCFBP8418_019220
YPO4115	XFCFBP8418_019440
YPO0550	XFCFBP8418_011300
YPO4114	XFCFBP8418_019450
YPO0551	XFCFBP8418_011290
YPO3142	XFCFBP8418_017690
YPO2053	XFCFBP8418_016880
YPO2174	XFCFBP8418_018680
YPO3141	XFCFBP8418_025070
YPO2293	XFCFBP8418_017900
YPO3380	XFCFBP8418_004340
YPO0549	XFCFBP8418_011310
YPO3937	XFCFBP8418_020700
YPO1636	XFCFBP8418_002120
YPO2604	XFCFBP8418_004370
YPO2601	XFCFBP8418_020420
YPO0783	XFCFBP8418_021160
YPO3015	XFCFBP8418_004100
YPO3378	XFCFBP8418_015800
YPO3377	XFCFBP8418_022240
YPO3014	XFCFBP8418_004090
YPO2167	XFCFBP8418_023820
YPO3376	XFCFBP8418_022220
YPO3013	XFCFBP8418_004080
YPO3012	XFCFBP8418_004070
YPO3132	XFCFBP8418_027910
YPO3132	XFCFBP8418_000160
YPO3132	XFCFBP8418_001680
YPO3011	XFCFBP8418_010980
YPO1072	XFCFBP8418_010510
YPO3372	XFCFBP8418_002700
YPO1073	XFCFBP8418_010500
YPO3371	XFCFBP8418_002710
YPO2160	XFCFBP8418_020780
YPO2837	XFCFBP8418_012360
YPO1867	XFCFBP8418_019130
YPO2957	XFCFBP8418_019770
YPO0532	XFCFBP8418_021500
YPO0533	XFCFBP8418_017930
YPO0530	XFCFBP8418_021510
YPO0531	XFCFBP8418_021520
YPO2158	XFCFBP8418_010720
YPO2157	XFCFBP8418_007260
YPO3366	XFCFBP8418_002690
YPO1068	XFCFBP8418_007370
YPO3365	XFCFBP8418_002680
YPO3361	XFCFBP8418_022200
YPO3360	XFCFBP8418_022190
YPO0091	XFCFBP8418_020710
YPO1060	XFCFBP8418_026800
YPO2829	XFCFBP8418_006660
YPO2828	XFCFBP8418_006650
YPO0648	XFCFBP8418_007450
YPO0888	XFCFBP8418_023900
YPO2824	XFCFBP8418_004790
YPO1615	XFCFBP8418_021350
YPO3118	XFCFBP8418_026070
YPO3117	XFCFBP8418_006790
YPO3358	XFCFBP8418_010630
YPO2147	XFCFBP8418_010710
YPO1056	XFCFBP8418_024900
YPO1057	XFCFBP8418_024910
YPO1054	XFCFBP8418_024880
YPO1055	XFCFBP8418_024890
YPO2021	XFCFBP8418_022230
YPO0085	XFCFBP8418_025760
YPO2383	XFCFBP8418_013020
YPO1050	XFCFBP8418_024840
YPO2816	XFCFBP8418_024840
