YPO1049	H16_A2051
YPO2157	H16_A3146
YPO3366	H16_A2996
YPO3366	H16_B0627
YPO1068	H16_A3246
YPO3123	H16_A0395
YPO3365	H16_A2995
YPO3365	H16_B0626
YPO3243	H16_A3578
YPO3361	H16_A1456
YPO3360	H16_A1457
YPO1060	H16_A1223
YPO3118	H16_A0603
YPO3117	H16_A1134
YPO3358	H16_A2376
YPO2147	H16_A1505
YPO2147	H16_A0817
YPO3115	H16_A2893
YPO1056	H16_A2043
YPO1057	H16_A2042
YPO1054	H16_A2045
YPO1055	H16_A2044
YPO1176	H16_A1386
YPO2021	H16_A1186
YPO0085	H16_A1047
YPO2383	H16_A3343
YPO1050	H16_A2088
YPO2381	H16_A0517
YPO1290	H16_B1537
YPO1290	H16_B1179
YPO1290	H16_B0982
YPO1290	H16_B2057
YPO1601	H16_A2565
YPO1962	H16_A3025
YPO1600	H16_A2566
YPO2930	H16_A2552
YPO2921	H16_A1511
YPO2908	PHG200
YPO2907	H16_A2834
YPO0958	H16_B1498
YPO4078	H16_A2586
YPO4078	H16_B1813
YPO4072	H16_A0523
YPO4071	H16_A0521
YPO1916	H16_B1693
YPO0945	H16_A0948
YPO0946	H16_A0947
YPO0942	H16_A3106
YPO3099	H16_A1854
YPO3099	H16_A2905
YPO3094	H16_A2542
YPO4061	H16_A0610
YPO0935	H16_A0323
YPO0931	H16_A0230
YPO4057	H16_B1453
YPO4056	H16_B1454
YPO3080	H16_A1500
YPO0926	H16_A3147
YPO0926	PHG420
YPO0926	H16_B1388
YPO0921	PHG417
YPO0921	H16_B1385
YPO0921	H16_A0566
YPO0922	PHG418
YPO0922	H16_B1386
YPO3076	H16_A0570
YPO3075	H16_A1217
YPO3073	H16_A1221
YPO3070	H16_A3585
YPO0914	H16_B0824
YPO0915	H16_A2345
YPO3868	H16_A2394
YPO3626	H16_A2243
YPO0117	H16_A0246
YPO2899	H16_A1214
YPO3625	H16_A2244
YPO1569	H16_B0460
YPO2777	H16_A0045
YPO2777	H16_A0475
YPO2777	H16_A2756
YPO2777	H16_A3308
YPO2777	H16_B1810
YPO0477	H16_A3031
YPO3623	H16_A2246
YPO3501	H16_A2446
YPO2533	H16_A1178
YPO2533	H16_B2567
YPO2896	H16_B0494
YPO2896	H16_A1158
YPO0475	H16_A3046
YPO3500	H16_A2445
YPO3742	H16_A0238
YPO3862	H16_A1851
YPO3862	H16_A2909
YPO3741	H16_A0330
YPO2773	H16_B2447
YPO2773	H16_A3372
YPO2773	H16_A3344
YPO1441	H16_A0932
YPO3861	H16_A1864
YPO3861	H16_A2907
YPO0474	H16_A3045
YPO2772	H16_A2607
YPO3740	H16_A0239
YPO3980	H16_B0612
YPO0470	H16_B0439
YPO2409	H16_A2038
YPO3739	H16_A0235
YPO3859	H16_B0039
YPO2769	H16_A2610
YPO2768	H16_A2611
YPO2525	H16_B1695
YPO3734	H16_A3633
YPO3854	H16_B2165
YPO3854	H16_B1082
YPO1435	H16_A0788
YPO0465	H16_B2072
YPO0465	H16_B0809
YPO2883	H16_A2368
YPO0463	H16_A2346
YPO3971	H16_B1945
YPO3729	H16_A0915
YPO3728	H16_A0501
YPO3849	H16_A2920
YPO1548	H16_A3416
YPO3726	H16_A2217
YPO1546	H16_A3414
YPO3725	H16_A2227
YPO2878	H16_A2363
YPO2514	H16_A0045
YPO2514	H16_A0475
YPO2514	H16_A2756
YPO2514	H16_A3308
YPO2514	H16_B1810
YPO3845	H16_A0227
YPO2513	H16_A0046
YPO2513	H16_A3309
YPO3964	H16_B1498
YPO3722	H16_A0151
YPO2995	H16_A0311
YPO1542	H16_A3409
YPO1543	H16_A3410
YPO2993	H16_A0311
YPO1540	H16_A2752
YPO2751	H16_A1317
YPO2630	H16_A2784
YPO2871	H16_A2030
YPO2870	H16_A2028
YPO2509	H16_A0107
YPO1539	H16_A2752
YPO3718	H16_A1502
YPO3718	H16_B1502
YPO2628	H16_A0312
YPO3837	H16_A3159
YPO2626	H16_A0314
YPO1414	H16_A1000
YPO1415	H16_A1401
YPO3712	H16_A2327
YPO3954	H16_B1207
YPO0565	H16_A3247
YPO1775	H16_A1892
YPO3953	H16_A1179
YPO1413	H16_A2589
YPO1410	H16_B1081
YPO1410	H16_A1151
YPO1410	H16_A1494
YPO0321	H16_A2113
YPO2984	H16_A2403
YPO0442	H16_A1452
YPO1773	H16_A3087
YPO3831	H16_A0309
YPO0322	H16_B1081
YPO0322	H16_A1151
YPO0322	H16_A1494
YPO1771	H16_A3622
YPO0561	H16_A3266
YPO1650	H16_A0231
YPO3949	H16_A2618
YPO2859	H16_A0243
YPO2615	H16_A0771
YPO2615	H16_A0472
YPO2736	PHG216
YPO2736	H16_B0954
YPO0556	H16_A3272
YPO2977	H16_B2564
YPO2614	H16_A0473
YPO2735	H16_B0953
YPO2735	PHG215
YPO0557	H16_A3271
YPO2613	H16_A0474
YPO2734	H16_B0952
YPO2734	PHG214
YPO2612	H16_A0045
YPO2612	H16_A0475
YPO2612	H16_A2756
YPO2612	H16_A3308
YPO2612	H16_B1810
YPO1522	H16_A2945
YPO0313	H16_A1027
YPO3942	H16_B1559
YPO0555	H16_A3273
YPO0552	H16_A3276
YPO1641	H16_A3056
YPO2610	H16_A3139
YPO3941	H16_B1560
YPO1400	H16_A0604
YPO0311	H16_A3107
YPO0550	H16_A3278
YPO0792	H16_A2114
YPO0551	H16_A3277
YPO0549	H16_A3279
YPO3938	H16_B1562
YPO1636	H16_A3124
YPO2846	H16_B1829
YPO2846	H16_B0109
YPO2846	H16_B1951
YPO2846	H16_B0462
YPO2604	H16_A0116
YPO2844	H16_B0981
YPO2601	H16_A0302
YPO0783	H16_A2703
YPO2960	H16_A0675
YPO1508	H16_B1498
YPO3808	H16_A2626
YPO3807	H16_A3029
YPO3807	H16_A2625
YPO3807	H16_B2037
YPO3806	H16_A3028
YPO3806	H16_A2624
YPO3805	H16_A1244
YPO3805	H16_A3027
YPO3805	RALH11797
YPO3805	H16_A2623
YPO3805	H16_A0286
YPO2837	H16_A2436
YPO3804	H16_B2012
YPO3804	H16_A3026
YPO3804	H16_A1543
YPO3804	H16_A2622
YPO3804	H16_B2040
YPO3804	H16_A1709
YPO1867	H16_A2546
YPO2957	H16_A0808
YPO3924	H16_A2925
YPO0658	H16_B1223
YPO1502	H16_B1195
YPO1502	H16_B2470
YPO1502	H16_B1745
YPO0532	H16_A2619
YPO0533	H16_A1041
YPO1501	H16_B1194
YPO2710	H16_A3036
YPO0654	H16_A0803
YPO0530	H16_A2620
YPO0530	H16_A1237
YPO0531	H16_A1236
YPO0531	H16_A2621
YPO2829	H16_A3042
YPO2828	H16_A3077
YPO2827	H16_B1595
YPO2827	H16_A0918
YPO1617	H16_A2740
YPO1617	PHG414
YPO0888	H16_A1167
YPO2824	H16_A1370
YPO1615	H16_A2550
YPO1851	H16_A3631
YPO0520	H16_A0675
YPO3909	H16_A2529
YPO3907	H16_B1498
YPO1608	H16_A0312
YPO1605	H16_A1569
YPO2816	H16_A2088
