YPO1049	RSc1408
YPO3401	RSc2630
YPO2554	RSc2061
YPO2433	RSc1577
YPO1587	RSc0487
YPO0253	RSc1952
YPO3400	RSc2628
YPO3521	RSc2349
YPO3520	RSc2126
YPO0493	RSc0517
YPO2551	RSc2057
YPO3760	RSc2550
YPO0490	RSc0681
YPO3519	RSc2782
YPO0008	RSc1013
YPO2429	RSc1581
YPO2549	RSc2055
YPO2428	RSc1582
YPO0006	RSp1052
YPO0006	RSc1621
YPO2548	RSc2054
YPO3999	RSc2866
YPO3999	RSc1885
YPO0246	RSc2777
YPO2425	RSc2399
YPO2303	RSc2730
YPO2303	RSp0949
YPO1215	RSc0898
YPO2545	RSc2051
YPO3513	RSc2823
YPO2302	RSp0954
YPO2302	RSp0951
YPO2302	RSc2733
YPO0486	RSc0946
YPO2422	RSc1322
YPO2421	RSc1321
YPO1332	RSc1734
YPO2420	RSc1319
YPO3992	RSc0330
YPO0482	RSc1521
YPO0241	RSc0072
YPO0480	RSc2745
YPO0481	RSc1519
YPO1570	RSc2553
YPO1207	RSp1581
YPO2539	RSp0947
YPO3627	RSc1341
YPO4039	RSc2128
YPO4037	RSp1633
YPO4036	RSc2757
YPO4036	RSp1634
YPO4036	RSc1242
YPO4035	RSp1635
YPO3183	RSc0715
YPO3062	RSc1145
YPO3182	RSc0712
YPO3180	RSc2768
YPO0907	RSc3293
YPO0905	RSc3295
YPO0906	RSc3294
YPO3179	RSc2769
YPO3177	RSc2221
YPO3176	RSc2222
YPO3053	RSc1390
YPO3167	RSc2914
YPO3166	RSc2915
YPO3166	RSc1860
YPO3286	RSc0743
YPO3286	RSc2660
YPO3165	RSc2916
YPO3165	RSc1859
YPO3164	RSc2917
YPO3164	RSc1858
YPO2074	RSc2857
YPO3162	RSc0154
YPO4127	RSc3323
YPO4126	RSc3322
YPO4125	RSc3321
YPO2067	RSp1190
YPO3034	RSc2767
YPO3034	RSc2123
YPO2066	RSp1559
YPO4123	RSc3319
YPO4001	RSc1382
YPO4122	RSc3318
YPO4000	RSc2867
YPO4000	RSc1884
YPO4121	RSc3317
YPO3032	RSc2192
YPO4120	RSp0810
YPO4120	RSc3316
YPO4119	RSc0177
YPO4118	RSc0178
YPO4117	RSc1529
YPO4116	RSc1530
YPO3389	RSc0666
YPO4115	RSc1531
YPO4114	RSc1532
YPO2054	RSc0468
YPO3142	RSc0343
YPO2053	RSc0466
YPO2174	RSc0913
YPO2293	RSc2077
YPO3380	RSc1576
YPO1199	RSc2516
YPO3015	RSc1336
YPO3377	RSc1126
YPO3014	RSc1345
YPO2167	RSc2831
YPO2288	RSp0214
YPO3376	RSc1129
YPO3013	RSc1346
YPO3012	RSc1347
YPO3132	RSc0011
YPO3132	RSp0819
YPO3011	RSc0917
YPO1075	RSc1154
YPO1072	RSc0921
YPO1073	RSc0920
YPO2160	RSc1760
YPO2158	RSc1747
YPO2157	RSc2749
YPO3366	RSc2422
YPO1068	RSc2816
YPO3123	RSc0417
YPO3365	RSc2421
YPO3244	RSc0537
YPO3364	RSp0166
YPO3364	RSc3166
YPO3361	RSc1643
YPO3360	RSc1644
YPO1060	RSc1169
YPO2390	RSp1446
YPO3118	RSc2533
YPO3117	RSc2643
YPO3358	RSc1204
YPO2147	RSc0926
YPO1056	RSc1416
YPO1057	RSc1417
YPO1054	RSc1414
YPO1055	RSc1415
YPO1176	RSc1609
YPO2021	RSc1127
YPO0085	RSc2064
YPO2383	RSc2904
YPO2381	RSc0520
YPO1290	RSc0028
YPO1290	RSp1611
YPO1601	RSc1054
YPO1962	RSc2435
YPO1600	RSc1053
YPO2930	RSc1066
YPO2921	RSc1722
YPO2912	RSc2347
YPO2907	RSc0729
YPO0958	RSc2757
YPO0958	RSp1634
YPO0958	RSc1242
YPO0832	RSc2145
YPO4078	RSc1034
YPO4078	RSp0945
YPO4072	RSc0526
YPO4071	RSc0524
YPO0945	RSc2160
YPO1913	RSc1809
YPO0946	RSc2161
YPO0942	RSc2684
YPO3094	RSp1496
YPO4061	RSc2526
YPO0935	RSc0345
YPO0931	RSc0134
YPO3080	RSc1717
YPO0926	RSc2750
YPO0921	RSc0571
YPO3076	RSc0575
YPO3075	RSc1163
YPO3073	RSc1167
YPO3070	RSc3271
YPO0918	RSc0385
YPO0915	RSc1232
YPO3868	RSc1188
YPO3626	RSc1340
YPO0117	RSc0091
YPO2899	RSc1160
YPO3625	RSc1339
YPO2777	RSp0932
YPO2777	RSc2260
YPO2777	RSc3408
YPO2777	RSc0484
YPO2777	RSc2106
YPO0477	RSc2442
YPO3624	RSc1338
YPO3623	RSc1337
YPO3864	RSp0510
YPO3864	RSp1017
YPO3501	RSc1527
YPO2533	RSp1560
YPO2896	RSc1019
YPO0475	RSc2458
YPO3500	RSc1528
YPO3742	RSc0109
YPO3863	RSp1016
YPO3862	RSc0682
YPO3741	RSc0351
YPO2773	RSc2905
YPO1441	RSc2185
YPO3861	RSc0684
YPO0474	RSc2457
YPO2772	RSc1976
YPO3740	RSc0108
YPO2409	RSc1421
YPO3739	RSc0113
YPO3859	RSp1006
YPO2769	RSc1979
YPO2768	RSc1980
YPO2647	RSp0066
YPO2646	RSp0067
YPO3734	RSc3303
YPO1435	RSc0900
YPO2883	RSc1211
YPO0463	RSc1231
YPO3729	RSc2191
YPO3728	RSc0504
YPO3849	RSc2357
YPO1548	RSc2952
YPO3726	RSc1363
YPO1546	RSc2950
YPO3725	RSc1358
YPO2878	RSc1216
YPO2757	RSp0357
YPO2514	RSp0932
YPO2514	RSc2260
YPO2514	RSc3408
YPO2514	RSc0484
YPO2514	RSc2106
YPO3845	RSc0137
YPO2513	RSc3409
YPO3964	RSc2757
YPO3964	RSp1634
YPO3964	RSc1242
YPO0577	RSc1080
YPO0577	RSp0834
YPO3722	RSc0294
YPO2995	RSc2861
YPO2995	RSp1282
YPO1542	RSc2945
YPO1300	RSc2863
YPO1543	RSc2946
YPO2993	RSc2861
YPO2993	RSp1282
YPO1540	RSp0006
YPO1540	RSc2237
YPO2751	RSc1566
YPO2630	RSc0791
YPO2871	RSc1429
YPO2870	RSc1431
YPO1539	RSp0006
YPO1539	RSc2237
YPO3718	RSc1719
YPO3718	RSc2137
YPO3837	RSc2774
YPO1414	RSc2125
YPO1415	RSc1619
YPO3712	RSc2140
YPO3712	RSc1267
YPO3954	RSp1189
YPO0565	RSc2817
YPO3953	RSc0441
YPO1413	RSc1031
YPO1410	RSc1010
YPO0321	RSc1371
YPO2984	RSc1179
YPO0442	RSc1640
YPO1773	RSc2633
YPO0322	RSc1010
YPO1771	RSc3296
YPO1771	RSp0045
YPO1771	RSc1100
YPO0561	RSc2837
YPO2982	RSp0520
YPO1650	RSc0972
YPO3949	RSc1987
YPO2859	RSc0100
YPO2615	RSc0481
YPO2615	RSc2261
YPO0556	RSc2843
YPO2977	RSp1557
YPO2614	RSc0482
YPO0557	RSc2842
YPO2613	RSc0483
YPO2612	RSp0932
YPO2612	RSc2260
YPO2612	RSc3408
YPO2612	RSc0484
YPO2612	RSc2106
YPO1522	RSc2381
YPO0313	RSc2085
YPO3942	RSp0239
YPO0555	RSc2844
YPO0676	RSc1500
YPO0552	RSc2847
YPO1641	RSc2490
YPO2610	RSc2744
YPO3941	RSp0238
YPO1400	RSc2532
YPO0311	RSc2686
YPO0550	RSc2849
YPO0792	RSc1370
YPO0551	RSc2848
YPO0670	RSc2329
YPO3939	RSp0242
YPO0549	RSc2850
YPO3937	RSc3045
YPO1636	RSc2720
YPO2846	RSc1734
YPO2604	RSc0062
YPO2844	RSc0029
YPO0425	RSc1893
YPO2601	RSc0327
YPO0783	RSc0947
YPO2960	RSp1145
YPO1508	RSc2757
YPO1508	RSp1634
YPO1508	RSc1242
YPO3807	RSc2440
YPO3806	RSc2439
YPO3805	RSc2438
YPO2837	RSc1537
YPO3804	RSc2437
YPO3804	RSp0017
YPO1867	RSc1072
YPO2957	RSc0918
YPO3924	RSc2363
YPO0658	RSp1191
YPO1502	RSp0069
YPO1502	RSc0605
YPO0532	RSc1988
YPO0533	RSc2072
YPO1501	RSc0604
YPO2710	RSc2447
YPO0654	RSc0914
YPO0530	RSc1989
YPO0531	RSc1990
YPO2829	RSc2454
YPO2828	RSc2623
YPO2827	RSc2188
YPO1617	RSc2229
YPO0888	RSc1028
YPO2824	RSc1596
YPO1615	RSc1068
YPO1851	RSc3301
YPO0520	RSp1145
YPO3909	RSc1956
YPO3907	RSc2757
YPO3907	RSp1634
YPO3907	RSc1242
YPO1605	RSc1784
